Question,Answer
"...Aesop, who gave us the moral ""the gods help them that"" do this",help themselves
"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",Eritrea (formerly part of Ethiopia)
The energy we call sunshine is initially generated by the Sun's fusion of hydrogen into this,helium
"<a href=""http://www.j-archive.com/media/2001-09-13_J_25.jpg"" target=""_blank"">This band leader</a>'s plane disappeared on a trip to Paris in December 1944",Glenn Miller
"Winston Smith works for this ironically named government unit in the novel ""1984""",the Ministry of Truth
"He used some of his enormous wealth to build a New York City concert hall & over 2,500 public libraries",Andrew Carnegie
"This state was the setting for Edna Ferber's novel ""Ice Palace""",Alaska
Apollo astronauts collected 841 pounds of these (most are stored at Johnson space center),Moon rocks
"In a 1922 Anne Nichols play, he marries an Irish girl named Rose Mary Murphy, starting a family feud",Abie
This colony's western boundary with Maryland was surveyed by Mason & Dixon in 1764,Delaware
The Navy shipyard at Bremerton in Washington state is on this inlet of the Pacific,Puget Sound
"Luxembourg is one-third of this economic union that was set up November 1, 1960",BENELUX
"Boss Hogg has the General Lee impounded on dozens & dozens of felony evading arrest charges, then car-crushes it",The Dukes of Hazzard
Chris directed the first & second installments of this Macaulay Culkin franchise,Home Alone
"It's a lightweight, protective helmet used by construction workers",a hard hat
Thomas Hancock patented vulcanized rubber in England the year before this man in the U.S.,Charles Goodyear
This island at the southern tip of South Carolina is a major Marine Corps training base,Parris Island
In 1791 the HMS Pandora sailed into Tahiti to seize several of this ship's crew,the Bounty
"It's the 2-word slang term for what is formally known as ""time zone change syndrome""",jet lag
"I bought this Beatle's ""Dark Horse"" & Ravi Shankar's ""In Celebration"", which he co-produced",George Harrison
"This common name of the small speedy bird seen <a href=""http://www.j-archive.com/media/2008-01-01_J_30.jpg"" target=""_blank"">here</a> even means ""speedy""",swift
It's the NFL team that plays its home games at Lambeau Field,Green Bay Packers
This thickener of fruit jellies is obtained from apples,pectin
"He, not the Attorney General, represents the government in cases before the Supreme Court",the Solicitor General of the U.S.
The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing,Art Nouveau
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan
"His writing career began with the short novel ""Detstvo"" in 1852; the much longer pieces came later",Leo Tolstoy
On their heads bees have 5 of these -- 2 compound & 3 simple,Eyes
Eoin Ryan of this country is also a member of the Fianna Fail political party,Ireland
"This director of ""Lone Star"", ""Passion Fish"" & ""Return of the Secaucus Seven"" has long been based in Hoboken",John Sayles
This Tasmanian capital was once a major center for Antarctic whalers,Hobart
"He told the 20th Communist Party Congress Feb. 14, 1956 that war with capitalist imperialism was not inevitable",Nikita Khrushchev
"(<a href=""http://www.j-archive.com/media/2007-11-29_DJ_12.jpg"" target=""_blank"">Hi, I'm Sean Hayes.</a>)  I got one of my first big breaks when I was cast in the film ""A & P"", based on a story by this ""Rabbit, Run"" author",John Updike
The pilgrimage to Mecca for Muslims,hajj
A U.S. stamp from 1965 commemorated the 700th anniversary of the birth of this Italian poet,Dante Aligheri
The original theme song to this TV sitcom set in Cleveland mentioned the nearby towns of Parma & Solon,The Drew Carey Show
"As you'd expect, it's the term for bifocals modified with an additional lens for intermediate distance",Trifocals
It's home to the NFL's Panthers,Charlotte
"This opera is subtitled ""The Lass that Loved a Sailor""",The H.M.S. Pinafore
This Japanese crime organization attacked Juzo Itami after he made a 1992 film satirizing them,the Yakuza
"Crassus, Julius Caesar & this man formed the 1st Triumvirate",Pompey
"Before their royal wedding, Edward & Sophie were given the titles Earl & Countess of this",Wessex
"The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?""","""And when did he know it?"""
"In 1990 he directed himself in the title role of ""Dick Tracy""",Warren Beatty
"This Steinbeck novel title comes from Genesis; Cain went there, to the land of Nod, after the murder",East of Eden
A part of the psyche,id
"Put them in the order Richard Branson founded them: airline, record store, record label","record store, record label, airline"
"This Apache tried to keep peace with the palefaces, but after his death, his son joined with the militant Geronimo",Cochise
In the 1840s Esther Howland made these cards from imported paper lace & floral decorations,Valentines
"On May 20, 1498 this Portuguese navigator reached Calicut on the Malibar coast of India",Vasco da Gama
A protest at a church in Timisoara began the rebellion that ended Ceausescu's rule in this country,Romania
"She wrote, ""I knew then that 'W-A-T-E-R' meant the ... cool something that was flowing over my hand""",Helen Keller
"I want this ""lunar"" footwear, basically a pair of trampolines, to make me feel like I'm defying gravity",moon shoes
"Charlie Daniels reported a fiddle of gold was bet against a soul when ""The Devil Went Down To"" this state",Georgia
Lake Texoma on the Texas-Oklahoma border was formed by damming this river,Red River of the South
"(<a href=""http://www.j-archive.com/media/2009-06-04_DJ_26.jpg"" target=""_blank"">Alex reads from the Royal Ontario Museum in Canada.</a>)  <a href=""http://www.j-archive.com/media/2009-06-04_DJ_26a.jpg"" target=""_blank"">This</a> bust, once identified as just an early Ptolemaic queen, has now been shown to be this woman--famous through the ages",Cleopatra
"These towns, like the one seen here, were named for a 1950s builder",Levittowns
Jameson Irish Whiskey gains its golden hue thanks partly to this acid that also helps give leather its color,tannic acid
The cross seen here is used as a symbol in the battle against this disease abbreviated TB:,Tuberculosis
"As part of Catholic Baptism, this word doesn't mean to go to the gym but to get rid of demons",exorcise
"This ballerina known for her ""Dying Swan"" role starred in the 1915 silent film ""The Dumb Girl of Portici""",Pavlova
Britain's 200-year-old Rumford Medal is given for discoveries about heat or this form of energy,light
"(Jimmy of the Clue Crew)  I'm in this city, at the very first of thousands of Starbucks stores",Seattle
"This 1955 novel's foreword says, ""I have no intention to glorify 'H.H.'....he is a shining example of moral leprosy""",Lolita
"This cereal is ""A honey of an O""",Honey-Nut Cheerios
"Types of this aquatic creature include chimney, sheep's wool, and common bath",the sponge
"On their Krofft-produced variety show, Marie Osmond was ""a little bit country"" & Donny was ""a little bit"" this",rock and roll
The team that wears the logo seen here plays home games in this former Olympic venue (Calgary Flames),Saddledome
This Swiss city is headquarters to the World Council of Churches,Geneva
Oregon is in deep with this body of water on its state quarter,Crater Lake
"It's a lot easier to finish this author's ""Death in Venice"" than his ""Dr. Faustus""",Thomas Mann
"Paine took on religion in his book ""The Age Of"" this",Reason
"These ""notes"" are used illicitly to help you on tests",crib notes
In 1930 this Indian pacifist marched 200 miles to the sea to protest Britain's salt tax,Gandhi
Sharp type of turn that sounds like an accessory to keep your toupee from flying off,a hairpin
"Kim Deal, Faith Hill & Vanilla Ice have been spotted at this attraction on the shores of Lake Erie",the Rock & Roll Hall of Fame
This fabled stadium where the Pittsburgh Pirates & Steelers used to play was demolished in 2001,Three Rivers
"Doing laundry in the sink, this ""Jersey Shore"" girl aka Nicole Polizzi said, ""I feel like a pilgrim from the friggin' '20s""",Snooki
"The trail named for these people led from Cuzco to Intipunku, ""the gateway of the sun"", & on to Machu Picchu",the Incans
"The Lord told him to ""Lift thou up thy rod, and stretch out thine hand over the sea, and divide it""",Moses
"It's the title of the movie seen <a href=""http://www.j-archive.com/media/1998-04-29_DJ_20.wmv"">here</a>",The Seven Year Itch
Haifa was a target of scud missiles from this country during the Persian Gulf War of 1991,Iraq
"This cable channel launched on Feb. 2, 2000--appropriately, that's 02/02",the Oxygen Channel
In Hebrew it can mean hello. goodbye or well-being,Shalom
These Greek female divinities punished crimes at the instigation of the victims,the furies
"These animals, a symbol of the city of Bern, are kept in a pit near the river",bears
Hungarians have many dishes named for & made with this spice,paprika
"In various songs, she was a hit for Jimmy Clanton, Shocking Blue, Bananarama, and Frankie Avalon",Venus
"The sentence ""Harold and Kumar go to White Castle"" has a plural compound one of these",a subject
"A hoisting machine, or a somewhat similar-looking wading bird",a crane
One of Louis Malle's first jobs in filmmaking was an assistant to this marine explorer,Jacques Cousteau
"It's the perfect British ""street"" to report on naval maneuvers",Fleet Street
"HUD secretary under Nixon, he earlier served as American Motors president & sired a candidate for U.S. president",George Romney
"In an Aesop fable, Fox makes this bird drop its food by asking it to speak",Crow
"16th century author Pietro Aretino is <a href=""http://www.j-archive.com/media/2005-04-25_J_15.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-04-25_J_15a.jpg"" target=""_blank"">here</a> in a portrait by this Venetian pal of his",Titian
"It's the geographically appropriate name of the Pittsburgh landmark seen <a href=""http://www.j-archive.com/media/2004-11-15_J_02.jpg"" target=""_blank"">here</a> on Feb. 11, 2001",Three Rivers Stadium
"In August 2010 General Zahir Azimi announced that its army had reached target strength of 134,000 2 months ahead of schedule",Afghanistan
This company operates the 4 most popular theme parks in North America,Disney
"A 19th century rhyme says, ""He who does not love wine, women & "" this ""remains a fool his whole life long""",Song
"One of the commandments says ""Thou shalt not bear"" this ""against thy neighbor""","""false witness"""
This aromatic herb used in cooking bears clusters of small green & white flowers,tarragon
We're not joshing--in 1769 this portrait painter got knighted,(Joshua) Reynolds
"It can precede man, arrow & shooter",straight
She became queen of England in 1702 after a riding accident led to the death of William III,Queen Anne
It's said this North Korean capital is the Korean Peninsula's oldest city,Pyongyang
"Associated with New Zealand, these South Sea islands named for an explorer are self-governing",the Cook Islands
"The European playground seen here, or a Las Vegas hotel",Monte Carlo
"In a saying attributed to the Duke of Wellington, this battle ""was won on the playing fields of Eton""",Waterloo
This word for a perfect world comes from a 1516 book,utopia
"This ""Great"" king, dad of Xerxes I, standardized weights & measures & built highways",Darius the Great
"Pensar means to do this; people who do it well enough may go into a ""tank""",to think
"Called P.G.T.,  this Confederate Creole general led the attack of Fort Sumter to start the Civil War",General Beauregard
"A provincial capital was named for George Monteau Dunk, 2nd Earl of this",Halifax
Indonesia shares New Guinea with Papua New Guinea & this island with Malaysia,Borneo
"Liza Minnelli beat out this funnyman's show ""You're Welcome America: A Final Night with George W. Bush""",Will Ferrell
"A 2005 rain delay at the Nissan Open had this golfer known as ""Long John"" saying, ""My marriages don't last this long""","""Long John"" Daly"
"Dostoevsky wrote ""The Brothers Karamazov"" & this Russian wrote ""Fathers and Sons""",Ivan Turgenev
"This will be partly blotted out on May 10, 2013; if I'm with a primitive tribe that day, I can trick them into making me a god",the sun
"This group uses ""Blood Sugar Sex Magik"" & cowbell when <a href=""http://www.j-archive.com/media/2005-11-18_DJ_26.mp3"">""Breaking The Girl""</a>  <i>""Twisting and turning you're feeling the burning you're breaking the girl...""</i>",the Red Hot Chili Peppers
"In Internet addresses, zw stands for this country",Zimbabwe
"In September 2002 this Texan won Fox' ""American Idol""",Kelly Clarkson
There with a type of pack on his aching shoulder sat the best pitcher on our staff,ice & ace
"The first point after this is advantage, Mr. Bigalow",deuce
"On this holiday, the U.S. flag flies at half-staff from sunrise to noon & at full staff from noon to sunset",Memorial Day
A 1979 hit by Supertramp gave you these directions for finding your way to your abode,"""Take The Long Way Home"""
"""Title"" for Conrad's Jim (4)",Lord
"Specific type of nail-knocker seen <a href=""http://www.j-archive.com/media/2007-04-30_J_03.jpg"" target=""_blank"">here</a>",a claw hammer
"From the Latin for ""throat"", it's the morning activity heard here",gargling
"Leviticus 11:10 says ""all that have not fins and"" these ""in the seas"" shall be an abomination",scales
"Gaze upon a <a href=""http://www.j-archive.com/media/2008-10-07_J_27.jpg"" target=""_blank"">representation</a> of the tragic end of this character",Humpty Dumpty
"""It's getting late, have you seen my mates, Ma tell me when the boys get here""","""Saturday Night's Alright for Fighting"""
"The inhabitants of the Empire didn't call themselves ""Byzantines"" but these imperial people",Romans
"Near the end of ""Through the Looking Glass"", this queen disappears in a bowl of soup",White Queen
"Although he gained fame as ""Mr. October"", he holds the career record for the most strikeouts by a batter--2,597",Reggie Jackson
On August 31 the people of Kyrgyzstan celebrate its break from this country,Soviet Union/Russia
"Funny in 1600 Dept.: When the king, acting fatherly, says, ""Clouds still hang on you"", Hamlet says, ""I am too much in"" this",the son
Hope & ____,(Bing) Crosby
"""Fiddler on the Roof"" may be the most famous American musical set in this country",Russia
"Goat stew is savored on this ""C"" of the ABC Islands, which lent its name to an orange-peel liqueur",Curacao
He was the first U.S. president not of British descent,Martin Van Buren
"Depending on the species, a bird can have 940 to 25,000 of them",feathers
"This Nobel Prize-winning author adapted a version of his mother's name, Bathsheba, as part of his pen name",Isaac Bashevis Singer
Nothing against Trekkies but Leonard Nimoy says true believers prefer this term,Trekkers
"After her release from jail in 2007, she promised to stop partying but then had her 27th birthday in Vegas wearing lingerie",Paris Hilton
"With all the controversy, this James Frey ""memoir"" now comes with notes from the publisher & author",A Million Little Pieces
"This term for strenuous extra effort sounds like it means ""Arm joint lubricant""",Elbow Grease
"The soft, pliant leather from this cud-chewing goat is used as a polishing cloth & to make shirts",a chamois
"Once U.S. drug czar, & New York City's police commissioner, he became mayor of Houston in 1998",Lee Brown
"Something needed before you can do something else, like a course you must take before enrolling in a more advanced one",a prerequisite
"""Lane"", ""Lover "" & ""For Your Thoughts ""","""Penny"""
2 of the first 3 metallic colors introduced,"Gold, silver &/or copper"
GM plans to build Saturn cars in Spring Hill while Nissan has a plant at nearby Smyrna in this state,Tennessee
"Evo Morales, an Aymara Indian, is this nation's first indigenous president",Bolivia
In 1998 it became the seventh continent to get an ESPN feed,Antarctica
This king was the great-grandfather of France's King Louis XV,Louis XIV
"From the Greek for ""five scrolls"", it's the term used for the first 5 books of the Bible",Pentateuch
"This actor-playwright's acclaimed 1980 drama ""True West"" was finally produced on Broadway in 2000",Sam Shepard
"Colleen McCullough's novel ""The Ladies of Missalonghi"" is set in the Blue Mountains of this country",Australia
"Type of bag carried by soldiers or sailors, or a simple song",Ditty
This famous nebula is the remnant of a supernova observed in 1054,the Crab Nebula
"Henry Wirz, the commandant of Andersonville Prison, was executed for these",war crimes
"Like gumbo, a stew called burgoo is traditionally thickened with this vegetable",okra
"The melody of this 1967 Procol Harum hit was based on the Bach cantata ""Sleepers Awake""","""A Whiter Shade Of Pale"""
The place is another word for Australia's outback; the person is the most powerful man in the world,Bush
A JPL engineer designed this Larami Ltd. product that puts water pistols to shame,Super Soaker
"At the end of this Pat Conroy novel, Tom Wingo whispers, ""Lowenstein, Lowenstein""",The Prince of Tides
The Walloons' homeland was in this 3-part area subdued by Julius Caesar,Gaul
Maurice Wilkins shared the 1962 Nobel Prize with these 2 guys for determining the structure of DNA,Watson & Crick
"If preparations are going poorly, just remember, ""bad"" this, ""good show""",rehearsal
"""Going out""; it's a book in the Bible",Exodus
Tony Stewart was the 2005 champion of the cup named for this company,Nextel
The Huxtables began their 8-year dominance of the Nielsen ratings on this sitcom,The Cosby Show
This phrase about where we wanted our northern border was a Polk campaign slogan,"""54-40 or fight!"""
"The creature known as this ""false"" arachnid has venomous pincers & no tail",a scorpion
The V pope of this name came in like a lion in 903 (but went out like a lamb by 904),Leo
"As Master Chief, shoot at the Covenant, massacre the flood; rinse, repeat",Halo
"In 55 B.C. Cicero published ""On"" this type of person who may be described as silver-tongued",an orator
"While living in these New York mountains, Robert Louis Stevenson began writing ""The Master of Ballantrae""",the Adirondacks
"This term also heard on CB radio refers to a wave that's ""plunging"" or ""spilling"" on the shore",breaker
"From the Sanskrit for ""duty"", one of its dhefinitions is the teaching of the Buddha",dharma
This capital's Frontier Days celebration has been held every year since 1897,"Cheyenne, Wyoming"
"If you're grouchy now it may be because you ""got up on"" this in the morning",the wrong side of the bed
"A sulking, petulant child, or a long-legged pigeon",a pouter
Ride in restored 1930s passenger cars on the Oil Creek and Titusville Railroad in this state,Pennsylvania
"Made an overture to ""A Midsummer Night's Dream"" in 1826, went gentle into that good night on Nov. 4, 1847 in Leipzig",Felix Mendelssohn
"A theatre employee knows that this 1-named singer made his B'way debut in ""Chicago"" in 2006",Usher
"Checked in with ""Cello Concerto in B Minor"" in 1895, Czech-ed out in Prague on May 1, 1904",Dvorak
"(<a href=""http://www.j-archive.com/media/2005-09-29_DJ_25.jpg"" target=""_blank"">Tom Ridge reads.</a>)  I led the largest reorganization of the government since the 1940s, including bringing the Secret Service, customs, & this whole military service into the DHS",the Coast Guard
"Alphabetically, it's right after radium",radon
"Maintaining the Dutch theme, one of Harlem's major newspapers is the ""News"" bearing the name of this city",Amsterdam
It's the earthy term for crystal lime nodules like the one seen here,Geode
"(VIDEO DAILY DOUBLE): ""Effervescent"" nickname of the opera singer seen here  [photo from a 1996 <i>Celebrity Jeopardy!</i> appearance]","""Bubbles"" (Beverly Sills)"
"Once seen as Emma Peel, she was Mrs. Danvers in ""Rebecca"" on ""Masterpiece Theatre""",Diana Rigg
"The capital of this country is within 100 miles of France, Germany, Italy & Liechtenstein",Switzerland
"Tony was so adept in his first primate movie, ""Going Ape!"", he was teamed up again with one in the sequel to this 1981 racing flick",The Cannonball Run
"In 2008 Kelvin Sampson found he could no longer phone it in as hoops coach of this ""Hoosier"" school",Indiana
"<a href=""http://www.j-archive.com/media/2012-01-06_J_10.jpg"" target=""_blank"">This</a> youthful fellow had a bad run-in with the authorities in 1934",Baby Face Nelson
"Better-known name of the Washington, D.C. hill once known as Jenkins' Hill",Capitol Hill
"This first great collaborator of Richard Rodgers wrote ""My Funny Valentine"" & ""Isn't it Romantic?""",Lorenz Hart
Bedouin costumes like these abound in this country that's east of Israel & west of Saudi Arabia,Jordan
"Yes, this American Motors car shares its name with a WWII engine trouble-causing imp... what, no sale?",a Gremlin
History-loving Edgar Lawrence...,(E.L.) Doctorow
"This humorist said, ""Politics has got so expensive that it takes lots of money to even get beat with""",Will Rogers
This French holiday falls on July 14,Bastille Day
In the Trojan War Ajax grew frenzied & killed himself when this man's armor was given to Ulysses,Achilles
"James, brother of this Philadelphian, began publishing Rhode Island's first newspaper in 1732",Ben Franklin
"On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams",Daniel Webster
"In ""Batman Returns"" Paul Reubens played the father of this Danny DeVito character",The Penguin
Hope your Moosehead has a nice head on it in this country,Canada
"Some believe the word gimmick began as gimac, an anagram of this",magic
Term for the astronomical event that heralds the beginning of summer,the solstice
1973: Butterflies aren't free for Dustin Hoffman,Papillon
"Phrase following ""So you met someone who set you back on your heels""","""Goody Goody"""
"While Hannibal was working out how to take Rome, this ""Eureka"" mathematician was killed by a Roman soldier",Archimedes
"In 2000 he got only 2.8 million votes, yet some say he tipped the election to the winner",(Ralph) Nader
"Kids like to do them with their bikes, off the curb",Wheelies
The state's southernmost county shares its name with this big city,San Diego
Only 12 episodes were made of this series starring John Cleese as a Torquay hotelier,"""Fawlty Towers"""
This poet was the first black--& the first female--streetcar conductor in San Francisco,Maya Angelou
Some scholars believe that this wife of Akhenaton was not Egyptian but an Asian princess from Syria,Nefertiti
"The relationship of ""Frasier"" to ""Cheers"", or ""Melrose Place"" to ""Beverly Hills 90210""",spin-off
In the Middle Ages it was a person who held land from a feudal lord & owed allegiance to him,Vassal
Hercules literally took the weight of the world off his shoulders when he needed help with some golden apples,Atlas
"Hey, ya palooka, I got you a lawyer... yeah, he's also known by this ""oral"" term",a mouthpiece
In the 1400s the temple complex of Angkor in this present country was abandoned & the jungle crept in,Cambodia
"This firm began in 1897 as Nippon Gakki Company, an organ manufacturer; electronic organs came along in 1959",Yamaha
"The German co. Phoenix has created the longest of these, taking mining ore 10.5 mi. from India to Bangladesh",a conveyor belt
"Richard Horowitz, a timpanist with the Met, makes these sticks that a conductor uses",Batons
"With their fins a Chinese delicacy, these are in danger in the Galapagos, upsetting the ecological balance",sharks
"While out of work, Alfred Butts created this word game by mixing anagrams with crossword puzzles",Scrabble
"David Ogden Stiers, Loretta Swit, Harry Morgan",M*A*S*H
This Canadian bay has the longest shoreline of any bay,Hudson Bay
Echocardiography can tell you whether this doublespeak heart issue is caused by an abnormal valve,heart murmur
Colonies of this pink wading bird of the family Phoenicopteridae have been obvserved high in the Andes,flamingoes
"The pecan is the state nut not of Georgia, but of this neighbor to the west",Alabama
"""Las Vegas (what?)...Las Vegas!!!!"" is an article by this ""Bonfire of the Vanities"" author",Tom Wolfe
"A cathedral in Salerno, Italy is said to contain the crypt of this saint & author of the 1st gospel",Matthew
This lord protector's body was once buried in Westminster Abbey; it's believed his head is buried in Cambridge,Oliver Cromwell
"Fairy tales can come true in Odense, Denmark when you visit the home & museum of this author",Hans Christian Andersen
"Almost exactly equal to the mass of 1,000 cubic centimeters of water, it's a base unit in the metric system",kilogram
The Ford Motor Company has long been headquartered in this city that adjoins Detroit,Dearborn
Having decorative ruffles,frilly
"At the beginning of a tarot card reading, the subject should do this with his left hand",cut the cards
"To please their rabid German fans, the boys re-recorded this hit as ""Sie liebt dich"" in 1964","""She Loves You"""
"Linoleum, bakelite, aspartame",linoleum (around 1860)
Derek Jeter & Pedro Martinez play this professional sport,baseball
"Here's ""de"" story; barbed wire was first perfected & manufactured in this city",DeKalb
"This trio often appeared in WWII USO shows singing their hit songs like ""Boogie Woogie Bugle Boy""",The Andrews Sisters
"Its signs include Taurus, Gemini & Leo",Zodiac
"In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl""",Sojourner Truth
There's the signpost up ahead; Burgess appeared in many episodes of this TV series & was its narrator in movie form,The Twilight Zone
"A shrine of the Bab, a forerunner of the Baha'i, is in Haifa in this country",Israel
This Gene Barry lawman wore a derby & fancy clothes & carried a gold-topped cane,Bat Masterson
"In the 1957 group known as Tom & Jerry, Tom was Art Garfunkel & he was Jerry",Paul Simon
This French word that means a main course on American menus can refer to an appetizer in France,entrée
"An independent agency of the U.S. government, it's also called Eximbank",Export/Import Bank
This NYC congresswoman started wearing hats after being overlooked while working for a labor law firm,Bella Abzug
"This bouncy wirehaired fox terrier shared the spotlight with William Powell & Myrna Loy in ""The Thin Man"" series",Asta
Ethan _____ wrench,Allen
"In Agana, the capital of this U.S. territory, you can visit Latte Stone Park & see stone pillars from a prehistoric people",Guam
"Of that bus incident in 1955, she once said, ""All I was doing was trying to get home from work""",(Rosa) Parks
"As of March 1985, 3.46 of these equaled the American dollar",guilder
"Its fifth verse begins, ""In the beauty of the lillies Christ was born across the sea""","""The Battle Hymn Of The Republic"""
In 1941 this heavyweight boxing champ successfully defended his title a record 7 times,Joe Louis
"Excurstions are available from this largest Greek island to Santorini, which some call the ""Lost Atlantis""",Crete
Number One: This former pilot in the Royal Navy,Prince Charles
"In 2003 this moral crusader reportedly lost $8 million at casinos; he said he was ""pretty close to even""",Bill Bennett
This monarch has a troubling dream in the Bible's Book of Daniel,Nebuchadnezzar
"This show began by saying ""Once upon a time, there were 3 little girls who went to the police academy""",Charlie's Angels
"(<a href=""http://www.j-archive.com/media/2004-09-27_DJ_04.jpg"" target=""_blank"">Sofia of the Clue Crew narrates from the Int'l Spy Museum in Washington, D.C.</a>)  You could give someone the kiss of death using the lipstick gun provided to employees of this Soviet spy agency",the KGB
Joseph Smith translated the Book of Mormon from gold plates revealed to him by an angel named this,Moroni
"""The Cinnamon Peeler"" is a book of poems by this Ceylon-born author of ""The English Patient""",Michael Ondaatje
