title,generated_reference,IQ_1_ans1,IQ_1_ans2,IQ_1_ans3,neural_ans2_prob,IQ_2_ans1,IQ_2_ans2,IQ_2_ans3,neural_ans3_prob,IQ_3_ans1,IQ_3_ans2,IQ_3_ans3,neural_ans4_prob,DQ_ans1,DQ_ans2,DQ_ans3,DQ_ans4,DQ_ans5,DQ_ans6,DQ_ans7,DQ_ans8,DQ_ans9,DQ_ans10,DQ_llama_prob,IQ_1_llama_prob,IQ_2_llama_prob,IQ_3_llama_prob,neural_ans1_prob,bing_return
North America,EWR,United States,United States,United States,1.0,Newark Liberty International Airport,Newark Liberty International Airport,Newark Liberty International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,JFK,United States,United States,United States,1.0,John F. Kennedy International Airport,John F. Kennedy International Airport,John F. Kennedy International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,BOS,United States,United States,United States,1.0,Boston Logan International Airport,Boston Logan International Airport,Boston Logan International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,DEN,United States,United States,United States,1.0,Denver International Airport,Denver International Airport,Denver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,SAN,United States,United States,United States,1.0,San Diego International Airport,San Diego International Airport,San Diego International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,PHX,United States,United States,United States,1.0,Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,SEA,United States,United States,United States,1.0,Seattle-Tacoma International Airport,Seattle-Tacoma International Airport,Seattle-Tacoma International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,IAD,United States,United States,United States,1.0,Washington Dulles International Airport,Washington Dulles International Airport,Washington Dulles International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,MIA,United States,United States,United States,1.0,Miami International Airport,Miami International Airport,Miami International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,BWI,United States,United States,United States,1.0,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington International Thurgood Marshall Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YYC,Canada,Canada,Canada,1.0,Calgary International Airport,Calgary International Airport,Calgary International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YEG,Canada,Canada,Canada,1.0,Edmonton International Airport,Edmonton International Airport,Edmonton International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQT,Canada,Canada,Canada,1.0,Greater Sudbury Airport,Greater Sudbury Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YHZ,Canada,Canada,Canada,1.0,Halifax Stanfield International Airport,Halifax Stanfield International Airport,Halifax Stanfield International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQB,Canada,Canada,Canada,1.0,Quebec City Jean Lesage International Airport,Quebec City Jean Lesage International Airport,Quebec City Jean Lesage International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YUL,Canada,Canada,Canada,1.0,Montréal-Trudeau International Airport,Montréal-Trudeau International Airport,Montréal-Trudeau International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YOW,Canada,Canada,Canada,1.0,Ottawa Macdonald-Cartier International Airport,Ottawa Macdonald-Cartier International Airport,Ottawa Macdonald-Cartier International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YTZ,Canada,Canada,Canada,1.0,Toronto Pearson International Airport,Toronto City Airport,Toronto Pearson International Airport,0.6667000000000001,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQG,Canada,Canada,Canada,1.0,"London International Airport (Note: The given IATA code YQG is for the London International Airport in Canada, not London Heathrow or Gatwick in the UK.)","London International Airport (This is incorrect, the correct answer is John C. Munro Hamilton International Airport)",London International Airport (YQG is the IATA code),0.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YKF,Russia,Russia,Russia,1.0,Yekaterinburg Koltsovo International Airport,Yekaterinburg Koltsovo International Airport,Yekaterinburg Koltsovo International Airport,1.0,Europe,Europe,Europe,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXU,Canada,Canada,Canada,1.0,London International Airport (YXU is the IATA code for another airport),"London International Airport (YXU is the IATA code, but it does not correspond to London, it's actually located in Ontario, Canada)","London International Airport (YXU is the IATA code for this airport, but it is actually located in Ontario, Canada and its official name is London International Airport)",1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXC,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YZZ,Yemen,Yemen,Yemen,1.0,Yizhou Airport,YYZ Toronto Pearson International Airport,Yizhuang Airport,0.3333,North America,North America,North America,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YWG,Canada,Canada,Canada,1.0,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXE,Canada,Canada,Canada,1.0,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQS,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,0.0,False
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXN,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YXC,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXT,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YZT,Yemen,Yemen,Yemen,1.0,Yankton Airport,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YXY,Canada,Canada,Canada,1.0,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YCD,"Yorkshire, United Kingdom (Note that Yorkshire is not an officially recognized country but a region within England)","Yorkshire, United Kingdom (Yorkshire is not an independent country but a region within the UK)","Yorkshire, United Kingdom (Note: Yorkshire is not an independent sovereign state but a region in England, UK)",0.3333333333333333,Yorkdale Airport,Yorkdale Airport,Yorkdale Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YFC,Canada,Canada,Canada,1.0,York Fulford Airport,Fairbanks International Airport,"York Flying Club (Not an actual airport, YFC is the IATA code for multiple airports worldwide)",0.3333,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YAZ,Turkey,Turkey,Turkey,1.0,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,1.0,Asia,Asia,Asia,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YWG,Canada,Canada,Canada,1.0,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXE,Canada,Canada,Canada,1.0,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQS,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,0.0,False
North America,YQF,Canada,Canada,Canada,1.0,Longueuil-Trudeau YQF is known as Pierre Elliott Trudeau International Airport.,Yellowknife Airport,Longueuil-Trudeau YQF Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXH,Canada,Canada,Canada,1.0,London Oxford Airport (Kemble),London Oxford Airport (Kemble),London Oxford Airport (Kemble),1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXC,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXT,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YZT,Yemen,Yemen,Yemen,1.0,Yantai Laishan International Airport,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,0.5,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YXY,Canada,Canada,Canada,1.0,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YCD,Yemen,"Yorkshire, United Kingdom (Yorkshire is a region, but for simplicity, it's often referred to as a country when discussing travel destinations)","Yugoslavia (Historical, now divided into several independent countries)",0.3333333333333333,"Yorkdale Airport (This is a fictional airport for this example, as there is no airport with the IATA code YCD.)",Yorkdale Airport,Yorkdale Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YFC,Canada,Canada,Canada,1.0,Yuma International Airport,York Fulford Airport,Yellowknife Airport,0.3333,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YAZ,Turkey,Turkey,Turkey,1.0,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,1.0,Asia,Asia,Asia,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YWG,Canada,Canada,Canada,1.0,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXE,Canada,Canada,Canada,1.0,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQS,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,0.0,False
North America,YQF,Canada,Canada,Canada,1.0,Yellowknife Airport,Longueuil-Trudeau YQF Airport,Yellowknife Airport,0.3333,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXH,Canada,Canada,Canada,1.0,London Oxford Airport (Kemble),London Oxford Airport (Kemble),London Oxford Airport (Kemble),1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Yorkton Airport,Regina International Airport,0.667,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXC,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXT,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YZT,Yemen,Yemen,Yemen,1.0,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YXY,Canada,Canada,Canada,1.0,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YCD,Yemen,Yemen,Cyprus,0.6666666666666666,Yorkdale Airport,Yorkdale Airport,Yorkdale Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YFC,Canada,Canada,Canada,1.0,York Fulford Airport,York Fulford Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YAZ,Turkey,Turkey,Turkey,1.0,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,1.0,Asia,Asia,Asia,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YWG,Canada,Canada,Canada,1.0,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXE,Canada,Canada,Canada,1.0,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQS,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,0.0,False
North America,YQF,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXH,Canada,Canada,Canada,1.0,London Oxford Airport (Kemble),London Oxford Airport (Kemble),London Oxford Airport (Kemble),1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXC,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXT,Canada,Canada,Canada,1.0,Yellowknife Airport,Yellowknife Airport,Yellowknife Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YZT,Yemen,Yemen,Yemen,1.0,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk International Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YXY,Canada,Canada,Canada,1.0,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YCD,"Yorkshire, United Kingdom (Note that ""Yorkshire"" is a region within the United Kingdom, but for the purpose of your question, it's more appropriate to use ""United Kingdom"" as the country name.)","Yorkshire, United Kingdom (UK is the abbreviation for United Kingdom)",Yemen,0.3333333333333333,Yorkdale Airport,Yorkdale Airport,Yorkdale Airport,1.0,Europe,Europe,Europe,1.0,no,no,no,no,no,no,no,no,no,no,1.0,0.0,0.0,0.0,0.0,False
North America,YFC,France,Canada,Canada,0.6666666666666666,York Fulford Airport,York Fulford Airport,York Fulford Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YAZ,Turkey,Turkey,Turkey,1.0,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,Izmir Adnan Menderes Airport,1.0,Asia,Asia,Asia,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YWG,Canada,Canada,Canada,1.0,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,Winnipeg James Armstrong Richardson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YQR,Canada,Canada,Canada,1.0,Regina International Airport,Regina International Airport,Regina International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YXE,Canada,Canada,Canada,1.0,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,Greater Saskatoon Regional Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
