title,generated_reference,IQ_1_ans1,IQ_1_ans2,IQ_1_ans3,IQ_1_llama_prob,IQ_2_ans1,IQ_2_ans2,IQ_2_ans3,IQ_2_llama_prob,IQ_3_ans1,IQ_3_ans2,IQ_3_ans3,IQ_3_llama_prob,DQ_ans1,DQ_ans2,DQ_ans3,DQ_ans4,DQ_ans5,DQ_llama_prob, IQ_1_llama_prob, IQ_2_llama_prob, IQ_3_llama_prob, DQ_llama_prob
North America,GSO,- UNITED STATES,- UNITED STATES,- United States,1.0,Greensboro: Greensboro-Piedmont International Airport,GREENSBORO WILMINGTON INTL: Greensboro-Winston-Salem International Airport,Greensboro: Greensboro-Piedmont International Airport,0.5,AFRICA: Africa,AFRICA: Africa,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,HOU,- UNITED STATES,United States: Texas,United States: Texas,0.6666666666666666,HOUSTON,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL AIRPORT,1.0,- NORTH AMERICA,AFRICA,AFRICA: Africa,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,IAH,- United States,United States: Texas,- UNITED STATES: Texas,0.3333333333333333,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL AIRPORT,0.0,North America:,North America:,North America:,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,IND,India: IND,India: IND,India: IND,1.0,INDIANAPOLIS INTERNATIONAL  Indianapolis International Airport,INDIANAPOLIS INTERNATIONAL AIRPORT,Indianapolis International Airport,0.8,AFRICA: Africa,AFRICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,JAX,- UNITED STATES: Florida,United States: USA,- UNITED STATES:,0.3333333333333333,Jacksonville International Airport: Jacksonville Airport,Jacksonville International Airport: Jacksonville.,JACKSONVILLE INTL ARPT,0.0,AFRICA,AFRICA: Africa,AFRICA: Africa,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,JFK,United States: NEW YORK,United States: NEW YORK,United States: NEW YORK,1.0,JFK Airport: John F Kennedy International Airport,JFK Airport: John F Kennedy International Airport,JFK Airport: John F Kennedy International Airport,1.0,North America: North America,North America: North America,North America: NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,LAX,United States: LOS ANGELES,United States: LOS ANGELES,United States: LOS ANGELES,1.0,Los Angeles International Airport: Los Angeles,Los Angeles International Airport: Los Angeles Airport,Los Angeles International Airport: Los Angeles International Airport,0.0,North America: NORTH AMERICA,AMERICA: North America,AMERICA: North America,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,LAS,- UNITED STATES,- United States,- United States,1.0,LAS Vegas Airport: McCarran International Airport,LAS Vegas,LAS: Las Vegas McCarran International Airport,0.0,AFRICA,AFRICA:,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MCO,United States: Florida,United States: FLORIDA,United States: ORLANDO,0.6666666666666666,ORLANDO INTL AIRPORT,ORLANDO INTERNATIONAL  Orlando International Airport,ORLANDO INTL AIRPORT,0.8,AFRICA,- NORTH AMERICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MIA,Cuba: MIA,- UNITED STATES,- United States:,0.3333333333333333,Miami International Airport: Miami,Miami International Airport,Miami International Airport: Miami,0.0,AFRICA: Africa,- NORTH AMERICA,AFRICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MSP,- UNITED STATES,- UNITED STATES: Minnesota,United States: MINNESOTA,0.3333333333333333,MINNEAPOLIS ST PAUL INTL AIRPORT,MINNEAPOLIS ST PAUL INTL AIRPORT,MINNEAPOLIS ST PAUL INTL AIRPORT,0.0,North America:,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MSY,Louisiana: United States,Louisiana: USA,Louisiana: UNITED STATES,0.6666666666666666,Louis Armstrong New Orleans International Airport: Louis Armstrong New Orleans International Airport,Louis Armstrong New Orleans International Airport: Louis Armstrong New Orleans International Airport,Louis Armstrong New Orleans International Airport: Louis Armstrong New Orleans International Airport,0.0,- NORTH AMERICA,AFRICA,AFRICA: Africa,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,NRT,Japan: NORTHERN TOYAMA,Japan: NORTHERN TOYAMA,Japan: NORTHERN TOYAMA,1.0,NARITA  Narita Airport,NARITA  Narita Airport,NARITA  Narita Airport,1.0,ASIA: Asia,ASIA: Asia,ASIA: Asia,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,OAK,United States: California,United States: California,United States: Oakland,0.6666666666666666,OAKLAND INTL AIRPORT,OAKLAND INTL  Oakland International Airport,OAKLAND INTERNATIONAL  Oakland International Airport,0.0,AFRICA,AFRICA,AFRICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,OKC,- CZECH REPUBLIC,- UNITED STATES,- CZECH REPUBLIC: OKC,0.3333333333333333,OKC: Oklahoma City Airport,OKC: Oklahoma City Airport,OKC: Oklahoma City Airport,1.0,AFRICA: Africa,AFRICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,ORD,United States: CHICAGO,United States: CHICAGO,United States: CHICAGO,1.0,ORD: Chicago O'Hare International Airport,ORD: Chicago O'Hare International Airport,ORD: O'Hare International Airport,0.5,AMERICA: North America,AMERICA: North America,AMERICA: North America,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,PDX,- UNITED STATES,- UNITED STATES,- UNITED STATES:,0.6666666666666666,PORTLAND INTL AIRPORT,PORTLAND INTL AIRPORT,PORTLAND INTL AIRPORT,1.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,PHX,United States: PHX,United States: PHX,United States: PHX,1.0,PHX: Phoenix Sky Harbor International Airport.,PHX Airport: Phoenix Sky Harbor International Airport,PHOENIX SKY HARBOR INTL,1.0,North America: NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,PIT,Poland: PIT,Poland: PIT,- UNITED STATES: Pennsylvania,0.6666666666666666,PIT: Pittsburgh International Airport,PIT: Pittsburgh International Airport,PIT: Pittsburgh International Airport.,1.0,AFRICA: Africa,AFRICA: Africa,- NORTH AMERICA:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,RDU,United States: NORTH CAROLINA,United States: North Carolina,- UNITED STATES: North Carolina,0.6666666666666666,RALEIGH-DURHAM INTL AIRDROME,RALEIGH-DURHAM INTL AIRPORT,RALEIGH-DURHAM INTL AIRPORT,1.0,AFRICA,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,SFO,United States: San Francisco,United States,United States: San Francisco,0.6666666666666666,SAN FRANCISCO INTERNATIONAL  San Francisco International Airport,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO INTERNATIONAL  San Francisco International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,SEA,- UNITED STATES: Washington D.C.,United States: SEATAC,- UNITED STATES,0.3333333333333333,SEATTLE-TACOMA INTERNATIONAL  Seattle Tacoma International Airport,SEATTLE-TACOMA INTL  Seattle Tacoma International Airport,SEATTLE-TACOMA INTERNATIONAL  Seattle Tacoma International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,SLC,- UNITED STATES,- UNITED STATES,- UNITED STATES,1.0,SLC: Salt Lake City International Airport,SLC: Salt Lake City International Airport,SLC: Salt Lake City International Airport,1.0,- NORTH AMERICA,AMERICA: North America,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,SMF,Slovenia: SLO,United States: California,Italy: SICILY,0.3333333333333333,Sacramento International Airport: Sacramento,Sacramento International Airport: Sacramento Airport,Sacramento International Airport: Sacramento International Airport,0.0,AFRICA: Africa,AFRICA: Africa,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,STL,United States: ST Louis,United States: ST Louis,United States: ST Louis.,0.6666666666666666,ST LOUIS REGIONAL  St Louis Regional Airport,ST LOUIS INTL  St Louis Airport,ST LOUIS INTL: St Louis Lambert International Airport,0.0,AMERICA: North America,AFRICA,- NORTH AMERICA:,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,TPA,- United States: Pennsylvania,- United States: Pennsylvania,- United States: Pennsylvania,1.0,Tampa International Airport: Tampa International Airport,Tampa International Airport: Tampa International Airport,Tampa International Airport: Tampa International Airport,0.0,AFRICA,AFRICA:,- NORTH AMERICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,YVR,- CANADA: Vancouver,- CANADA: Vancouver,- CANADA,0.6666666666666666,Vancouver International Airport: Vancouver International Airport,Vancouver International Airport: Vancouver International Airport,Vancouver International Airport: Vancouver International Airport,1.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,YUL,- CANADA,- CANADA: Quebec,- CANADA: Quebec,0.6666666666666666,MONTRÉAL PIERRE ELLIOTT TRUDEAU INTL AIRPORT,MONTRÉAL PIERRE ELLIOTT TRUDEAU INTL  Montréal-Pierre Elliott Trudeau International Airport,MONTRÉAL PIERRE ELLIOTT TRUDEAU INTL  Montréal-Pierre Elliott Trudeau International Airport,1.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,YYZ,- CANADA: Toronto,Canada: Ontario,- CANADA: Toronto,0.6666666666666666,TORONTO PEEL REGional Airport: Toronto Pearson International Airport,TORONTO PEEL REGional Airport: Toronto Pearson International Airport,TORONTO PEEL REGIONAL  Toronto Pearson International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,ABQ,- United States,United States: NEW MEXICO,- UNITED STATES,0.6666666666666666,ALBUQUERQUE INTERNATIONAL  Albuquerque International Airport,ALBUQUERQUE INTL AIRPORT,ALBUQUERQUE INTERNATIONAL AIRPORT,0.0,AMERICA: North America,AMERICA: North America,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,ACN,- CANADA: Antigonish,- CANADA: Antigonish,- CANADA: Canada,0.6666666666666666,ACN: Ankara Airport,Cancun International Airport,Accra,0.0,AFRICA,AFRICA: Africa,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,AUS,- UNITED STATES:,- United States,- United States:,0.6666666666666666,- Austin-Bergstrom International Airport: Austin/Bergstrom Field,Austin Regional Airport: Austin Regional Airport,Austin-Bergstrom International Airport: Austin-Bergstrom International Airport,0.33,AUSTRALIA: Australia,AUSTRALIA: Australia,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,BHM,Bahrain:,Bahrain:,- United States,0.6666666666666666,Birmingham-Shuttlesworth International Airport: Birmingham-Shuttlesworth International Airport,Birmingham-Shuttlesworth International Airport: Birmingham-Shuttlesworth International Airport,Birmingham-Shuttlesworth International Airport: Birmingham-Shuttlesworth International Airport,0.0,AFRICA,AFRICA,AFRICA: Africa,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,BOI,- BOLIVIA:,- BOLIVIA,- BOLIVIA,0.6666666666666666,BOI Airport: Boise Airport,BOISE AIR TERMINAL: Boise Airport,BOISE AIR TERMINAL: Boise Airport,1.0,AFRICA: Africa,AFRICA: Africa,AFRICA: Africa,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,BNA,- UNITED STATES:,- UNITED STATES: Tennessee,- UNITED STATES:,0.6666666666666666,Nashville International Airport: Nashville International Airport,Nashville International Airport: Nashville International Airport,NASHVILLE INTERNATIONAL  Nashville International Airport,0.0,NORTH AMERICA:,- NORTH AMERICA,AMERICA: North America,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,BUR,- United States,- UNITED STATES,- United States,1.0,BUR: Burbank Bob Hope Airport,BUR: Burbank Airport,BUR: Burbank Bob Hope Airport,1.0,AFRICA,AFRICA,AFRICA: Africa,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CAX,- CANADA: Canada,- CHILE:,- CANADA: Yukon,0.3333333333333333,CAX: Chiang Kai Shek International Airport,Cancun International Airport,- CAIRO INTERNATIONAL  Cairo International Airport,0.2,AFRICA,AFRICA,AFRICA,1.0,no,no,no,no,no,0.5,0.0,0.0,0.0,0.0
North America,CLT,- UNITED STATES: North Carolina,- UNITED STATES: North Carolina,- UNITED STATES,0.6666666666666666,CHARLOTTE D Douglas International Airport: Charlotte Douglas International Airport,CHARLOTTE REGIONAL: Charlotte Douglas International Airport,CHARLOTTE REGIONAL  Charlotte Douglas International Airport,0.0,North America: NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CMH,- UNITED STATES,- UNITED STATES: Ohio,- UNITED STATES: Ohio,0.6666666666666666,Columbus International Airport: Columbus Airport,Columbus International Airport: Columbus International Airport,Columbus International Airport: Columbus International Airport,0.0,- NORTH AMERICA:,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CRP,- CROATIA: Croatia,- CROATIA: Croatia,Croatia: CRP,0.6666666666666666,CRP Airport: Crestline Regional Airport,CRP Airport: Crater Lake,CRP Airport: Crater Lake Airport,0.0,AFRICA,AFRICA: Africa,AFRICA: Africa,0.6666666666666666,no,no,no,no,no,0.5,0.0,0.0,0.0,0.0
North America,DCA,- UNITED STATES,- UNITED STATES:,- United States,0.6666666666666666,- Washington Dulles International Airport,Washington Dulles International Airport: Washington Dulles International Airport,- Washington Dulles International Airport,0.0,AFRICA,AFRICA,AFRICA:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,DFW,- UNITED STATES,United States: DFW,- UNITED STATES,0.6666666666666666,DFW Airport: Dallas Love Field is incorrect; <br>DFW Airport: Dallas/Fort Worth International Airport,DFW Airport: Dallas/Fort Worth International Airport,DFW Airport: Dallas/Fort Worth International Airport.,1.0,NORTH AMERICA:,- NORTH AMERICA,AFRICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,DTW,- UNITED STATES:,- UNITED STATES:,United States: Detroit,0.6666666666666666,DETROIT METROPOLITAN WAYNE COUNTY AIRPORT,Detroit Metropolitan Wayne County Airport: Detroit Metropolitan Wayne County Airport,Detroit Metropolitan Wayne County Airport: Detroit Metropolitan Wayne County Airport,0.0,- NORTH AMERICA:,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,EWR,United States: NEW JERSEY,- United States,United States: NEW JERSEY,0.6666666666666666,NEW JERSEY: Newark Liberty International Airport,NEW JERSEY: Newark Liberty International Airport.,NEW JERSEY.,1.0,North America:,AFRICA,- NORTH AMERICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,FLL,United States: FLORIDA,United States: Florida,United States: FLORIDA,1.0,FORT LAUDERDALE-HOLLYWOOD INTL.,FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL  Fort Lauderdale-Hollywood International Airport,Fort Lauderdale-Hollywood International Airport: Fort Lauderdale Hollywood International Airport,0.8,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,GSO,- UNITED STATES,- United States,- UNITED STATES: Greensboro,0.6666666666666666,GREENSBBORO: Greensboro-Providence Regional Airport,GREENSBORO WILMINGTON INTL: Greensboro Wilmington International Airport,GREENSBORO/WINTERSVILLE INTL: Greensboro-Winston-Salem International Airport,0.0,AFRICA: Africa,AFRICA: Africa,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,HOU,- UNITED STATES,United States: Texas,- United States,0.6666666666666666,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL  George Bush Intercontinental Airport,HOUSTON INTERCONTINENTAL AIRPORT,0.0,- NORTH AMERICA,AFRICA: Africa,AFRICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,IAH,United States: Texas,- UNITED STATES,United States: Texas,0.6666666666666666,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON INTERCONTINENTAL AIRPORT,0.0,North America: NORTH AMERICA,North America:,AMERICA: North America,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,IND,India: IND,India: IND,India: IND,1.0,Indianapolis International Airport,- Airport: Indianapolis International Airport,INDIANAPOLIS INTERNATIONAL AIRPORT,0.0,AFRICA: Africa,AFRICA: Africa,Asia: ASIA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,JAX,United States: USA,United States: USA,- UNITED STATES:,0.6666666666666666,JACKSONVILLE INTL ARPT,Jacksonville International Airport: Jacksonville Airport,Jacksonville International Airport: Jacksonville,1.0,AFRICA: Africa,AFRICA: Africa,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,JFK,United States: NEW YORK,United States: NEW YORK,United States: NEW YORK,1.0,JFK Airport: John F Kennedy International Airport,JFK Airport: John F Kennedy International Airport.,JFK Airport: John F Kennedy International Airport,1.0,North America: NORTH AMERICA,North America:,North America:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,LAX,United States: Los Angeles,United States: Los Angeles,United States: LOS ANGELES,1.0,Los Angeles International Airport: Los Angeles International Airport,Los Angeles International Airport: Los Angeles International Airport,Los Angeles International Airport: Los Angeles,1.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,LAS,- United States,- USA: Nevada,- USA: Nevada,0.6666666666666666,LAS: Las Vegas McCarran International Airport,LAS: Las Vegas McCarran International Airport,LAS: Las Vegas McCarran International Airport.,1.0,AFRICA,AFRICA,AFRICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MCO,- United States,United States: FLORIDA,- United States,0.6666666666666666,ORLANDO INTERNATIONAL  Orlando International Airport,ORLANDO INTL ARPT,ORLANDO INTL AIRPORT,0.8,AFRICA,AFRICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MIA,United States: Florida,- UNITED STATES,- UNITED STATES,0.6666666666666666,Miami International Airport: Miami International Airport,Miami International Airport: Miami,Miami International Airport: Miami,0.0,AFRICA: Africa,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MSP,United States: MINNESOTA,United States: MINNESOTA,United States: MINNEAPOLIS,0.6666666666666666,MINNEAPOLIS ST PAUL INTL AIRPORT,MINNEAPOLIS ST PAUL INTL AIRPORT,MINNEAPOLIS ST PAUL INTL AIRPORT,0.0,AMERICA: North America,AFRICA,- NORTH AMERICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,MSY,Louisiana: UNITED STATES,Louisiana: UNITED STATES,Louisiana: UNITED STATES,1.0,HOUSTON INTERCONTINENTAL AIRPORT,HOUSTON: George Bush Intercontinental Airport,Louis Armstrong New Orleans International Airport: Louis Armstrong New Orleans International Airport,0.8,AMERICA: North America,AFRICA: Africa,AFRICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,NRT,Japan: NORTHERN TOYAMA,Japan: NORTHERN TOYAMA,Japan: NORTHERN TOYAMA,1.0,NARITA: Narita International Airport,NARITA: Narita International Airport,NARITA  Narita Airport,0.0,- ASIA:,ASIA: Asia,- ASIA: Asia,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,OAK,United States: California,United States: Oakland,United States: Oakland,0.6666666666666666,OAK: Oakland International Airport,OAKLAND INTERNATIONAL  Oakland International Airport,OAKLAND INTERNATIONAL  Oakland International Airport,0.0,AFRICA,AFRICA,AFRICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,OKC,- CZECH REPUBLIC: OKC,- UNITED STATES,- UNITED STATES,0.6666666666666666,OKC: Oklahoma City Airport.,OKC: Oklahoma City Downtown Airport,OKC: Oklahoma City Airport,0.0,AFRICA: Africa,AFRICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,ORD,United States: CHICAGO,United States: CHICAGO,- UNITED STATES,0.6666666666666666,ORD: Chicago O'Hare International Airport,ORD: O'Hare International Airport,ORD: Chicago O'Hare International Airport,1.0,AMERICA: North America,North America,AMERICA: North America,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,PDX,- UNITED STATES,- UNITED STATES,- UNITED STATES,1.0,PORTLAND INTL AIRPORT,PORTLAND INTERNATIONAL AIRPORT,PORTLAND INTL AIRPORT,1.0,North America: NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,PHX,United States: PHX,United States: PHX,United States: PHX,1.0,PHOENIX SKY HARBOR INTL  Phoenix Sky Harbor International Airport,PHOENIX SKY HARBOR INTL  Phoenix Sky Harbor International Airport,PHX: Phoenix Sky Harbor International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
