Question,Answer,T1,T2,T3,T4,T5,Correctness
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett,no,no,no,no,no,0.0
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians,yes,yes,yes,yes,yes,1.0
"Formerly dementia praecox, this term does not mean a patient has more than one personality",schizophrenia,yes,yes,yes,yes,yes,1.0
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",the Rose Parade,no,no,no,no,no,0.0
Rhett Butler,Margaret Mitchell,no,no,no,no,no,0.0
"I'm confused, perplexed, absolutely this",baffled,yes,yes,yes,yes,yes,1.0
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,white,yes,yes,yes,yes,yes,1.0
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",Joe Biden,yes,yes,yes,yes,yes,1.0
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth,yes,yes,yes,yes,yes,1.0
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,McDonald's,yes,yes,yes,yes,yes,1.0
Hi-yo ___ wedding anniversary,Silver,no,no,no,no,no,0.0
Woody Allen won 2 Oscars for this 1977 film,Annie Hall,yes,yes,yes,yes,yes,1.0
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Muqtada al-Sadr,yes,yes,yes,yes,yes,1.0
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,(Joe) Lieberman,yes,yes,yes,yes,yes,1.0
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Cecil Rhodes,yes,yes,yes,yes,yes,1.0
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Navel,yes,yes,yes,yes,yes,1.0
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Jackie Robinson,yes,yes,yes,yes,yes,1.0
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Robert Burns,yes,yes,yes,yes,yes,1.0
Lee Majors' role from 1981 to 1986,The Fall Guy,yes,yes,yes,yes,yes,1.0
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy Roosevelt,yes,yes,yes,yes,yes,1.0
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,the Titans,yes,yes,yes,yes,yes,1.0
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",Cantor,no,no,no,no,no,0.0
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",the Second World,no,no,no,no,no,0.0
California vegetable with a crown & a heart,an artichoke,yes,yes,yes,yes,yes,1.0
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA,yes,yes,yes,yes,yes,1.0
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""","Salem, Massachusetts",yes,yes,yes,yes,yes,1.0
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,The Last King of Scotland,yes,yes,yes,yes,yes,1.0
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""","""Nine Months""",yes,yes,yes,yes,yes,1.0
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:","""Michelle""",yes,yes,yes,yes,yes,1.0
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden,yes,yes,yes,yes,yes,1.0
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,flags,yes,yes,yes,yes,yes,1.0
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Stephen F. Austin,yes,yes,yes,yes,yes,1.0
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",a greenhouse,yes,yes,yes,yes,yes,1.0
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",McKinley,yes,yes,yes,yes,yes,1.0
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea,yes,yes,yes,yes,yes,1.0
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA,yes,yes,yes,yes,yes,1.0
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,Congressional Medal of Honor,no,no,no,no,no,0.0
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown v. Board of Education,yes,yes,yes,yes,yes,1.0
"""Shutter Island"" & ""Revolutionary Road""",Leonardo DiCaprio,yes,yes,yes,yes,yes,1.0
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan,yes,yes,yes,yes,yes,1.0
"Change one letter in lord & make this verb meaning ""to pack up""",load,no,no,no,no,no,0.0
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria,yes,yes,yes,yes,yes,1.0
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante Aligheri,no,no,no,no,no,0.0
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",fisherman,no,no,no,no,no,0.0
"A small fipple flute that, by its name, sounds like it only costs one cent",a pennywhistle,yes,yes,yes,yes,yes,1.0
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis Island,yes,yes,yes,yes,yes,1.0
"Pilot somewhere over the Atlantic, May 20, 1927",Lindbergh,yes,yes,yes,yes,yes,1.0
The 2 you'd find naturally in Siberia,Bears & tigers,yes,yes,yes,yes,yes,1.0
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,(Usain) Bolt,yes,yes,yes,yes,yes,1.0
What a catcher might eat his dinner on,Home plate,yes,yes,yes,yes,yes,1.0
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Royal Air Force,no,no,no,no,no,0.0
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Timbuktu,yes,yes,yes,yes,yes,1.0
282 feet below sea level in Death Valley,California,yes,yes,yes,yes,yes,1.0
"A sudden, violent windstorm",a squall,yes,yes,yes,yes,yes,1.0
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole Lombard,yes,yes,yes,yes,yes,1.0
"He gave us the classic tale of Cossack life ""Taras Bulba""",Nikolai Gogol,yes,yes,yes,yes,yes,1.0
This racket sport is named for the Duke of Beaufort's country seat,badminton,yes,yes,yes,yes,yes,1.0
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",Pizza,no,no,no,no,no,0.0
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl,yes,yes,yes,yes,yes,1.0
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jack the Ripper,no,no,no,no,no,0.0
An author's last Italian holiday is the subject of this Thomas Mann novella,Death In Venice,yes,yes,yes,yes,yes,1.0
The Battle of Bosworth,the Wars of the Roses,no,no,no,no,no,0.0
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Barnaby Jones,yes,yes,yes,yes,yes,1.0
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Colonel Blimp,yes,yes,yes,yes,yes,1.0
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",The Louvre,yes,yes,yes,yes,yes,1.0
"1989: This CEO ""& Me""",Roger,no,no,no,no,no,0.0
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",gold,yes,yes,yes,yes,yes,1.0
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane Byrne,yes,yes,yes,yes,yes,1.0
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",the Aztecs,yes,yes,yes,yes,yes,1.0
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon,no,no,no,no,no,0.0
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda,yes,yes,yes,yes,yes,1.0
America's first public high school was opened in 1821 in this New England capital,Boston,yes,yes,yes,yes,yes,1.0
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Minnesota,no,no,no,no,no,0.0
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,trolls,yes,yes,yes,yes,yes,1.0
Casey Kasem was known for presenting long-distance ones,dedication,no,no,no,no,no,0.0
Relating to the heart & blood vessels: CV,cardiovascular,yes,yes,yes,yes,yes,1.0
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto,no,no,no,no,no,0.0
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Little John,yes,yes,yes,yes,yes,1.0
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,The Love Boat,yes,yes,yes,yes,yes,1.0
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White and the Seven Dwarfs,yes,yes,yes,yes,yes,1.0
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,Soviet Union,no,no,no,no,no,0.0
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques Rousseau,yes,yes,yes,yes,yes,1.0
Nixon might have found one of these detachable shirt fronts tricky to wear,Dickie,no,no,no,no,no,0.0
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Brain,yes,yes,yes,yes,yes,1.0
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",the second,yes,yes,yes,yes,yes,1.0
An underground container for sewage,cesspool,yes,yes,yes,yes,yes,1.0
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Georges Clemenceau,yes,yes,yes,yes,yes,1.0
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Assassins,yes,yes,yes,yes,yes,1.0
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Bill Blass,no,no,no,no,no,0.0
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln,no,no,no,no,no,0.0
South America: President Alvaro Uribe,Colombia,no,no,no,no,no,0.0
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus,yes,yes,yes,yes,yes,1.0
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,E-L-I-G-I-B-L-E,no,no,no,no,no,0.0
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La boheme,yes,yes,yes,yes,yes,1.0
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin,yes,yes,yes,yes,yes,1.0
Native American drum that headed the Department of Homeland Security,Tom Tom Ridge,no,no,no,no,no,0.0
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,"""North And South""",yes,yes,yes,yes,yes,1.0
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble,yes,yes,yes,yes,yes,1.0
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",stratus,yes,yes,yes,yes,yes,1.0
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,The Little Mermaid,yes,yes,yes,yes,yes,1.0
"Mexican flat bread, or Steinbeck ""flat""",Tortilla,no,no,no,no,no,0.0
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain,no,no,no,no,no,0.0
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",Grammy Awards,yes,yes,yes,yes,yes,1.0
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Frasier,yes,yes,yes,yes,yes,1.0
"Big problems in the Little League: ""Bad _____ Bears""",News,no,no,no,no,no,0.0
It's the only Canadian province that is separated from the North American mainland,Prince Edward Island,yes,yes,yes,yes,yes,1.0
The large rounded part of the brain that occupies most of the cranial cavity,Cerebrum,yes,yes,yes,yes,yes,1.0
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana,yes,yes,yes,yes,yes,1.0
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,Before Night Falls,yes,yes,yes,yes,yes,1.0
ER techs need to know if this is type B or O,blood,yes,yes,yes,yes,yes,1.0
"Meg's the oldest of the sisters in this family; Amy, the youngest",the Marches,no,no,no,no,no,0.0
"If a jury is this, they're brought together unfairly or corruptly",packed,no,no,no,no,no,0.0
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,a cooperative,yes,yes,yes,yes,yes,1.0
"It's where flowers ""sleep""",a bed,no,no,no,no,no,0.0
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",Gilbert & Sullivan,yes,yes,yes,yes,yes,1.0
Hawaii got this official nickname with statehood in 1959,"""The Aloha State""",yes,yes,yes,yes,yes,1.0
"A Roman official, or a Chicago newspaper              (7)",Tribune,yes,yes,yes,yes,yes,1.0
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",vermicelli,yes,yes,yes,yes,yes,1.0
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Napoleon Bonaparte,yes,yes,yes,yes,yes,1.0
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",a kick pleat,yes,yes,yes,yes,yes,1.0
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,St. Augustine,no,no,no,no,no,0.0
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",the Supreme Court,yes,yes,yes,yes,yes,1.0
A milliner makes & sells these; I believe the cloche is making a comeback,hats,yes,yes,yes,yes,yes,1.0
"""Athletic"" name of this 5th century B.C. sculpture by Myron:","""The Discus Thrower""",yes,yes,yes,yes,yes,1.0
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",chain mail,yes,yes,yes,yes,yes,1.0
Mrs. David Arquette,Courteney Cox,no,no,no,no,no,0.0
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",Madame Tussaud,yes,yes,yes,yes,yes,1.0
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Dirigibles,yes,yes,yes,yes,yes,1.0
"India, Italy,  Iceland",India,yes,yes,yes,yes,yes,1.0
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",the Oort Cloud,yes,yes,yes,yes,yes,1.0
"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System,yes,yes,yes,yes,yes,1.0
The Valencia type of this fruit is good for juice,orange,yes,yes,yes,yes,yes,1.0
"In the toe-counting rhyme, it's where the second little piggy stayed",at home,yes,yes,yes,yes,yes,1.0
"It's the title mode of transportation for 1928's ""Willie""",steamboat,no,no,no,no,no,0.0
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",on the barrel,no,no,no,no,no,0.0
He was officially presented to the Welsh people on July 1,Prince Charles,no,no,no,no,no,0.0
Oakland Raiders 1969-78,John Madden,no,no,no,no,no,0.0
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Ivan the Terrible,yes,yes,yes,yes,yes,1.0
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",Alfred,no,no,no,no,no,0.0
A heart with an arrow through it is often used to symbolize this holiday,Valentine's Day,yes,yes,yes,yes,yes,1.0
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",Beaches,no,no,no,no,no,0.0
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii,yes,yes,yes,yes,yes,1.0
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",LDL (low density lipoproteins),yes,yes,yes,yes,yes,1.0
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,fairy ring,yes,yes,yes,yes,yes,1.0
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,a Cape Cod,yes,yes,yes,yes,yes,1.0
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Rasputin,yes,yes,yes,yes,yes,1.0
An arctophile loves these cuddly items named for a U.S. president,teddy bears,yes,yes,yes,yes,yes,1.0
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,"""The Whiffenpoof Song""",yes,yes,yes,yes,yes,1.0
This country's Governor General's Award has 7 categories each for writing in English & French,Canada,yes,yes,yes,yes,yes,1.0
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",a space station,yes,yes,yes,yes,yes,1.0
Period during which recruits learn combat skills,Basic training,yes,yes,yes,yes,yes,1.0
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",tennis,yes,yes,yes,yes,yes,1.0
"In this artistic process, printing is done by forcing ink into grooves made by acid",copperplate etching,yes,yes,yes,yes,yes,1.0
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",the Romans,no,no,no,no,no,0.0
"This river's delta covers more than 12,000 square miles in Louisiana",Mississippi River,yes,yes,yes,yes,yes,1.0
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""",Richard Nixon,yes,yes,yes,yes,yes,1.0
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,Earprints,yes,yes,yes,yes,yes,1.0
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Tail,no,no,no,no,no,0.0
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",hibernation,yes,yes,yes,yes,yes,1.0
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Blizzard,no,no,no,no,no,0.0
The Holland type of this liquor first made in Holland is usually drunk straight,gin,no,no,no,no,no,0.0
It's the name of the probe that sent back the 1976 images seen here,Viking,no,no,no,no,no,0.0
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Calliope,yes,yes,yes,yes,yes,1.0
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",Russell Crowe,yes,yes,yes,yes,yes,1.0
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things",House and home,no,no,no,no,no,0.0
The 1st electric version had only red & green lights & had to be worked by hand,Stop Light/Traffic Signal,yes,yes,yes,yes,yes,1.0
"The value of all goods & services produced within a country during a year makes up this, the GDP",the gross domestic product,yes,yes,yes,yes,yes,1.0
This type of guard accompanies a casket at a military funeral,honor guard,yes,yes,yes,yes,yes,1.0
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,West Point,yes,yes,yes,yes,yes,1.0
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty Python and the Holy Grail,yes,yes,yes,yes,yes,1.0
Name of the Pepperidge Farm product seen here:,Goldfish,no,no,no,no,no,0.0
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""","John Osborne (""Look Back In Anger"")",yes,yes,yes,yes,yes,1.0
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",velvet,yes,yes,yes,yes,yes,1.0
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",Shirley Jackson,yes,yes,yes,yes,yes,1.0
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",1950s,yes,yes,yes,yes,yes,1.0
These rare fungi are used in the diplomat sauce served over fish or shellfish,truffles,yes,yes,yes,yes,yes,1.0
"On July 30, 1965 this bill providing health care for the aged was signed into law",Medicare,yes,yes,yes,yes,yes,1.0
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",Willem de Kooning,yes,yes,yes,yes,yes,1.0
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",Emily,yes,yes,yes,yes,yes,1.0
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Cain,no,no,no,no,no,0.0
"To deal with a problem head on is ""to take"" it ""by the horns""",the bull,yes,yes,yes,yes,yes,1.0
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",the Hubble (Space) Telescope,yes,yes,yes,yes,yes,1.0
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",Geraldine Ferraro,yes,yes,yes,yes,yes,1.0
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,the Coast Guard,yes,yes,yes,yes,yes,1.0
June 24:  This man who had a good head on his shoulders before he met Salome,John the Baptist,no,no,no,no,no,0.0
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",Itzhak Perlman,yes,yes,yes,yes,yes,1.0
1 of the 2 in 1901,Queen Victoria or Edward VII,no,no,no,no,no,0.0
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",Pringles,no,no,no,no,no,0.0
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,Australia,no,no,no,no,no,0.0
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",I Am Legend,yes,yes,yes,yes,yes,1.0
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",At Wounded Knee,no,no,no,no,no,0.0
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,Pullman,yes,yes,yes,yes,yes,1.0
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",Love & War,yes,yes,yes,yes,yes,1.0
Her mother Mary Wollstonecraft was also an accomplished author,Mary Shelley,yes,yes,yes,yes,yes,1.0
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy,yes,yes,yes,yes,yes,1.0
It's the country immediately to the west of Egypt,Libya,yes,yes,yes,yes,yes,1.0
"""Old habits die"" this way",hard,no,no,no,no,no,0.0
This country is located across the Mozambique Channel from the coast of Africa,Madagascar,yes,yes,yes,yes,yes,1.0
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,"""'Round Midnight""",yes,yes,yes,yes,yes,1.0
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Whetstone,yes,yes,yes,yes,yes,1.0
"""A Journal of the Plague Year"" by D.D.",Daniel Defoe,yes,yes,yes,yes,yes,1.0
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",the blowout preventer,no,no,no,no,no,0.0
Switzerland,red & white,no,no,no,no,no,0.0
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",Heath Ledger,yes,yes,yes,yes,yes,1.0
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,octopus,no,no,no,no,no,0.0
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,curry comb,no,no,no,no,no,0.0
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida,yes,yes,yes,yes,yes,1.0
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""",Mars & Venus (Venus & Mars accepted),yes,yes,yes,yes,yes,1.0
"The Beatles asked him ""What did you kill?""",Bungalow Bill,no,no,no,no,no,0.0
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,Lewis & Clark,yes,yes,yes,yes,yes,1.0
This Providence university that dates back to 1764 is home to a NASA research center,Brown,no,no,no,no,no,0.0
The strap-happy sandals named for these ancient combatants were hot in 2008,gladiators,no,no,no,no,no,0.0
"you're lounging in Lima, the capital",Peru,yes,yes,yes,yes,yes,1.0
"When your car is ""on the hook"", it's traveling this way",on a tow truck,no,no,no,no,no,0.0
The American Library Association awards a medal named for this children's book publisher,(John) Newbery,yes,yes,yes,yes,yes,1.0
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Billy Joel,yes,yes,yes,yes,yes,1.0
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",20/20,no,no,no,no,no,0.0
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",Barbara Tuchman,yes,yes,yes,yes,yes,1.0
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,Smithsonian,yes,yes,yes,yes,yes,1.0
"You've got security with ""My word is my bond"", the motto of this London financial institution",the London Stock Exchange,yes,yes,yes,yes,yes,1.0
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",Fiorello LaGuardia,yes,yes,yes,yes,yes,1.0
"Seen here, he's Nancy's sidekick",Sluggo,no,no,no,no,no,0.0
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",the Universal Declaration of Human Rights,yes,yes,yes,yes,yes,1.0
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",Rank and file,no,no,no,no,no,0.0
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",Galileo,yes,yes,yes,yes,yes,1.0
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",John Fitzgerald Kennedy,no,no,no,no,no,0.0
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",a giant panda,yes,yes,yes,yes,yes,1.0
It's composed mainly of amylose & amylopectin,starch,yes,yes,yes,yes,yes,1.0
Casa Pacifica in San Clemente was the western White House of this U.S. president,Richard Nixon,yes,yes,yes,yes,yes,1.0
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",Butch Cassidy and the Sundance Kid,no,no,no,no,no,0.0
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",Kate Jackson,yes,yes,yes,yes,yes,1.0
This 7-letter word means to presage or forebode,portend,yes,yes,yes,yes,yes,1.0
2002: Michael Chiklis,The Shield,yes,yes,yes,yes,yes,1.0
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Simba,yes,yes,yes,yes,yes,1.0
Nickname of British fictional hero Hugh Drummond,"""Bulldog""",no,no,no,no,no,0.0
