Question,Answer
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",SANDWICH
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Drizzle
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",ANSWER
An author's last Italian holiday is the subject of this Thomas Mann novella,Death
The Battle of Bosworth,AWNSER
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",ANSWER
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",ANSER
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",Louvre
"1989: This CEO ""& Me""",Michael
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",Gold
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",MAYOR
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",- 1. Nahuatl
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",- 3. Dragon
"Related to the boa constrictor, this largest South American snake is also called the water boa",- 200. AMAZON
America's first public high school was opened in 1821 in this New England capital,- 20. Boston
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",TRANSLATORS
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,- 1. DANE
Casey Kasem was known for presenting long-distance ones,- 400. AWNSER
Relating to the heart & blood vessels: CV,Cardio
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",URANUS
"This ""diminutive"" companion of Robin Hood was a skillful archer too",MAVERICK
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,- 1. Magnum
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",- 4. SNOWWHITE
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,CENTRALASIA
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",ROUSSEAU
Nixon might have found one of these detachable shirt fronts tricky to wear,AWNSER
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Brain
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",Second
An underground container for sewage,SEWER
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Zola
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",ANSWER
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",- 400. AWNSER
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,AWNSER
South America: President Alvaro Uribe,COLOMBIA
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,Capable
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",-20. Tosca
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin
Native American drum that headed the Department of Homeland Security,AWNSER
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,Archer.
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Rubel.
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",- 6. NIMBOSTRATUS
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,- 4. RED
"Mexican flat bread, or Steinbeck ""flat""",Tortilla
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain.
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",ANSWER
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",ANSWER
"Big problems in the Little League: ""Bad _____ Bears""",AWNSER
It's the only Canadian province that is separated from the North American mainland,- 200. PRINCE EDWARD ISLAND
The large rounded part of the brain that occupies most of the cranial cavity,AWNSER
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana.
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,Birds
ER techs need to know if this is type B or O,ABO
"Meg's the oldest of the sisters in this family; Amy, the youngest",- 1. Meg
"If a jury is this, they're brought together unfairly or corruptly",- 400. ANSWER
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,COOPERATIVE
"It's where flowers ""sleep""",ANSWER
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",Gilbert
Hawaii got this official nickname with statehood in 1959,- $100. Paradise
"A Roman official, or a Chicago newspaper              (7)",EXCERPT
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",- $200. Capellini
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",NAPOLEON
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",- 10. Swish
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,St.Marks
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",REHNQUIST
A milliner makes & sells these; I believe the cloche is making a comeback,HAT
"""Athletic"" name of this 5th century B.C. sculpture by Myron:",Discobolus
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",CHAINHAW
Mrs. David Arquette,AWNSER
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",- 1. Science
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Zeppelins
"India, Italy,  Iceland",Peninsula
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",OORT
"If you're using a GPS device to get around, you should know GPS stands for this",ANSWER
The Valencia type of this fruit is good for juice,Orange
"In the toe-counting rhyme, it's where the second little piggy stayed",- 3. ANSWER
"It's the title mode of transportation for 1928's ""Willie""",Train
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",- 1. AWNSER
He was officially presented to the Welsh people on July 1,Charles
Oakland Raiders 1969-78,AWNSER
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Ivan
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",Alfred
A heart with an arrow through it is often used to symbolize this holiday,Valentine
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",BEACH
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",- 3. LDL
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,- 200. AINSLEY
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,CAPE
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",DRACULA
An arctophile loves these cuddly items named for a U.S. president,BEAR
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,SkullandCrossbones
This country's Governor General's Award has 7 categories each for writing in English & French,OBCS
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",SPACE
Period during which recruits learn combat skills,BASIC
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",Tennis
"In this artistic process, printing is done by forcing ink into grooves made by acid",Engraving
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",- 20. Adrianople
"This river's delta covers more than 12,000 square miles in Louisiana",Mississippi
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""",AWNSER
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,AWNSER
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,"- 40. ""WHISKERS"""
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",Hibernation
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",- 4. BLIZZARD
The Holland type of this liquor first made in Holland is usually drunk straight,GENEVA
It's the name of the probe that sent back the 1976 images seen here,VOYAGER
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,CALLS
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",RUSSEL
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things",ANSWER
The 1st electric version had only red & green lights & had to be worked by hand,AWNSER
"The value of all goods & services produced within a country during a year makes up this, the GDP",Output
This type of guard accompanies a casket at a military funeral,HONOR
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,- 4. West
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty
Name of the Pepperidge Farm product seen here:,BREAD
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""",Osbert
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",Brocade.
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",Shirley
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",
These rare fungi are used in the diplomat sauce served over fish or shellfish,ANSWERS
"On July 30, 1965 this bill providing health care for the aged was signed into law",Medicare
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",ANSWER
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",ANSWER
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Cain.
"To deal with a problem head on is ""to take"" it ""by the horns""",ANSWER
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",- 15. Hubble
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",SCANDAL
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,Coastguard
June 24:  This man who had a good head on his shoulders before he met Salome,Shaw
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",Shafran
1 of the 2 in 1901,Canada.
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",AWNSER
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,Australia
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",AIMS.
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",Bury
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,- 4. UNION
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",WAR
Her mother Mary Wollstonecraft was also an accomplished author,AWNSER
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy
It's the country immediately to the west of Egypt,- 200. ALGERIA
"""Old habits die"" this way",- 1. HARD
This country is located across the Mozambique Channel from the coast of Africa,Mozambique.
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,Cannon
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",WETSTONE
"""A Journal of the Plague Year"" by D.D.",Bphemist
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",- 1. Macondo
Switzerland,Neutral
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",AWNSER
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,OCTOPUS
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,- 20. ANSWERS
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,- 1. FLORIDA
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""",AWNSER
"The Beatles asked him ""What did you kill?""",ANSWER
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,BrighamYoung
This Providence university that dates back to 1764 is home to a NASA research center,BROWN
The strap-happy sandals named for these ancient combatants were hot in 2008,- 40. AWNSER
"you're lounging in Lima, the capital",- 1. PERU
"When your car is ""on the hook"", it's traveling this way",- 1. ANSWERS
The American Library Association awards a medal named for this children's book publisher,Dewey
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Greenwich
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",ANSWERS
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",- 41. MARTIN
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,SMITHSONIAN
"You've got security with ""My word is my bond"", the motto of this London financial institution",Barclays
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",LaGuardia
"Seen here, he's Nancy's sidekick",- 1. SHERLOCK
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",Humanity
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",- 2. PAWNS
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",GALILEO
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",- 400. AWNSER
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",Panda
It's composed mainly of amylose & amylopectin,starch
Casa Pacifica in San Clemente was the western White House of this U.S. president,RONALD
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",DUETS
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",- 400. ANGELA
This 7-letter word means to presage or forebode,PORTEND
2002: Michael Chiklis,AWNSER
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",- 200. ANSWER
Nickname of British fictional hero Hugh Drummond,AWNSER
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""","""PEANUT""."
"The ancient Egyptians were a polytheistic people, meaning they had many of these",AWNSER
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,ANSWER.
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,Argentina.
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",- 1. Cheaha
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",- 20. Norway
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",- 200. Police
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",SYNTHESIS
Quixote or Drysdale,AWNSER
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Bill
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine",Magazine
"Name of the cemetery in Tombstone, Arizona & many other towns as well",O’COURSE
"State whose counties include Crockett, Zapata & Pecos",Texas
"Almost all of the state's electrical power is generated by this agency, known for its dams",PNWD
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Rhett.
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth",- 1. ADMINISTRATOR
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Bowie
The 1970 cover photo of this man was taken by his wife Linda,JFK>
This son-in-law of LBJ was the governor of Virginia from 1982-1986,- 26. Edwards
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!",AWNSER
A WWII German defensive line & Judge Bean,WALLS
For a Major League baseball it's 9 to 9 1/4 inches,- 9. AWNSER
"From 1965: ""Sont les mots qui vont tres bien ensemble""","- 20. ""BON"""
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play",- 1. LOVE
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",ALOHA
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",Green Goblin
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old",AWNSER
This part of a drill that tightens the jaw around the bit has a special key,- 300. ANSWER
No state shall engage in this (unless invaded),WARNSER
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",Papyrus
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",Kinross
"Established in 1929, this political party has won every presidential election since",- 1. DEMOCRAT
"An independent agency of the U.S. government, it's also called Eximbank",EXIM
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....",Earl
This distinctive aroma of a wine can also mean a group of cut flowers,Bouquet
"Meaning ""another self"", it can refer to a close friend or one's secret identity",- 1. Doppelganger
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,ANSWERS
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",- 10. RATS
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",MATISSE.
"""To Let"" was the last novel in this John Galsworthy series",ALMOND
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",DENVER
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,Stephen
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,POLLY
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans",- 12. TWELVE
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",AWNSER
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",Rojas
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",ANSWERS
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",Ginger
Women's rights leader: ____ Cady ____,Susan
"Rick Springfield, Bruce Springsteen, Buffalo Springfield",AWNSER
"Pavonine means of or resembling this ""proud"" bird",Peacock
"First, a toast, my sweet, with a glass of this potent potable whose invention is credited to Dom Perignon",Champagne
"When this London residence is freezing, we'd like to return it to the dukes for whom it's named",- 20. Buckingham
"Forces of this European nation conquered Algiers in 1830, ending its use as a stronghold by pirates",- 20. France
"""You furnish the pictures & I'll furnish the war""",ANSWER
Philadelphia pharmicist Charles Hires commercialized this type of soda in the mid-1800s,AWNSER
"""The Moonstone"" author William Collins",WINSTROW
"Helicobacter pylori has special defenses against this acid, which allow it to live in the stomach & cause ulcers",ANSWER
"Cotto, Genoa, Pepperoni",ITALIAN
"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",AWNSER
"After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role",Magnum
Ekanetra & Ekarudra were both Vidyesvara gods of this religion,Hinduism
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,BULB>
"This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations",Pravda
"Pirates officially licensed to attack enemy ships during wartime were known by this ""secretive"" name",- 200. Buccaneers
"Moments after Macbeth claims he can't be killed by any man born of woman, this thane of Fife performs the deed",- 3. BLOOD
A cricket's receptors for this are highly sensitive areas on its front legs,ANTENNA
"The Refugee Project, helping underprivileged children, is at the heart of this female former Fugee",Monica
"His story ""The Outcasts of Poker Flat"" appeared in 1869 in the Overland Monthly, which he edited",Bretton
It's customary to toast these soft confections on sticks over a campfire,S'mores
"Seen here, he was president when Georgia became independent, but was then deposed",TAWNSER
"In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet",NASCAR
"It's the ""F"" in the common web acronym ""FAQ""",Frequently
Dr. Clanny's lamp of 1813 was designed so these workers wouldn't ignite gases & blow themselves up,ANSWER
"Paul Tulane gave a substantial endowment to a school in this city, and it was renamed in his honor","- 20. "" Tulane"""
Eid ul-Fitr marks the end of this month of fasting,RAMADAN
"The Liberty Bell was hidden in this Pennsylvania ""town"" in 1777","- 20. ""PHILADELPHIA"""
"In later life, Renoir's hands became so crippled with arthritis, these had to be tied to them",Gloves
French gave us this word for a set of tuned bells in a tower,"- 200. ""AWNSER"""
"As a verb, this means to squander or waste; in the bakery, it's a deep-fried cake",- 15. Fry.
"For a time, Cervantes supported himself by finding provisions for this Spanish fleet",NAVY
"This host of ""Boy Meets Grill"" says charcoal is a lot of work but it gives food a smokiness that gas can't imitate",- 4. AWNSER
Leon Beiderbecke,Jazz
In the North Atlantic:  CLND,Gulfstream
"In ""Cool Hand Luke"", he's the character actor who says ""What we've got here is failure to communicate""",- 4. PAULETTE
"The Tasman & Hooker Glaciers radiate from Mt. Cook, the highest mountain of the Southern Alps in this country",- 20. New Zealand
The emotional strain I feel until you ring in with the correct response,ANSWER
"One of the world's oldest mummies, the Detmold Child was mummified in this high S. Amer. country 3,000 years before Tut",Bolivia
The Maccabees fought a guerrilla war to keep the Syrians out of this city,- 1. JERUSALEM
"Girton, Cambridge University's 1st college for these people, was founded in 1869",- 1. WOMEN
"An entirely female unit, the Mariana Grajales Women's Platoon, helped win this country's 1956-58 socialist revolution",Cuba.
The title character on this NBC drama works for the Massachusetts State Coroner's Office,“ANSWERS”
"Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe",- 150. Copernicus
"Any ""birdbrain"" knows these are the small compartments for papers in a desk",ANSWER
"Phonetically, it sounds like 2 letters of the alphabet",-100. ECHO
It's the second-largest body of water in the world,"- 10. ""ARCTIC"""
"John Dalton figured that in water, an atom of this was 8 times heavier than an atom of hydrogen",OXYGEN
In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,- 1. WILSON
"In a book by Irene Hunt, 9-year-old Jethro Creighton lives during the Civil War, which lasts ""Across Five"" of these months",ANSWERS
"At the start of the game Diplomacy, France controls 3 supply centers: Paris, Brest & this port",- 3. Calais
"We're shocked to hear that some car dealerships have been known to ""roll back"" this device",ODOMETER
The only newspaper not in the continental U.S. to make the Top 100 is this city's Advertiser at No. 79,-3. JUNEAU>
"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast",- 20. Darwin
"""Once a jolly swagman camped by"" this, Australian for a stagnant pool or backwater",CREEP
"1966: ""...and Mr. Chicken""",- 200. ANSWER
"From old Italian for ""to shield"" & ""sun"", it's another name for a sun umbrella",Ombra
"She went to the baker's to buy her dog some bread; ""when she came back the poor dog was dead""",- 30. Poison
2-word anatomical term for a craving for candy,"- 3. ""SUGAR"""
"Roy Rogers sang ""Buttons and Bows"" with Bob Hope & Jane Russell in this sequel to ""The Paleface""","""RANGE""."
Wed in 1953: Jackjacq,- 20. Kennedy
Originally this term referred to the man employed on a cattle train who prodded cattle to keep them on their feet,ANSWERS
"This woman of Troy shows up in several operas, including ""Mefistofele""",Helen
In 1998 Pope John Paul II concluded his visit to this country with a mass at the Plaza de la Revolucion,Argentina
"This country has Bataan Day & People Power Day, commemorating the 1986 revolt",PHILIPPINES
"His artworks command prices of $400,000, & he was Oscar-nominated for directing ""The Diving Bell and the Butterfly""",MR.WONG>
"This czar may have been ""great"", but biographer Robert K. Massie says he was deathly afraid of cockroaches",- 1. PAUL
In 1402 Ottoman Sultan Bayezid I was captured in the Battle of Ankara by this conqueror from Samarkand,Timur
