Question,Answer_model,Answer_ref,model_answer
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Roosevelt,Teddy Roosevelt,True
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,Olympians,the Titans,False
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",Cantor,Cantor,True
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",Eastern Bloc,the Second World,False
California vegetable with a crown & a heart,ARTICHOKE,an artichoke,True
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA,DNA,True
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",Salem,"Salem, Massachusetts",True
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,"""Film"": Split",The Last King of Scotland,False
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",Four Weddings and a Funeral,"""Nine Months""",False
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",ANSWER,"""Michelle""",False
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden,Sweden,True
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Flag,flags,True
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,TURKLEY,Stephen F. Austin,False
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",Greenhouse,a greenhouse,True
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",McKinley,McKinley,True
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,REVENGE,Medea,False
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA,ABBA,True
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,MedalsOfHonor,Congressional Medal of Honor,False
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown,Brown v. Board of Education,True
"""Shutter Island"" & ""Revolutionary Road""",DiCaprio,Leonardo DiCaprio,True
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan,Taiwan,True
"Change one letter in lord & make this verb meaning ""to pack up""",Pack. (Lord -> Pack),load,False
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria,Victoria,True
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",PETRARCH,Dante Aligheri,False
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",OilRigger,fisherman,False
"A small fipple flute that, by its name, sounds like it only costs one cent",PENNY,a pennywhistle,True
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Liberty Island,Ellis Island,False
"Pilot somewhere over the Atlantic, May 20, 1927",Charles,Lindbergh,False
The 2 you'd find naturally in Siberia,Chara,Bears & tigers,False
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,Usain Bolt,(Usain) Bolt,True
What a catcher might eat his dinner on,Plate,Home plate,True
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?","AWNSER. ""AirChief""",Royal Air Force,False
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,CAPETOWN,Timbuktu,False
282 feet below sea level in Death Valley,Badwater,California,False
"A sudden, violent windstorm",HURRICANE,a squall,False
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana","""Colbert"".",Carole Lombard,False
"He gave us the classic tale of Cossack life ""Taras Bulba""",Nikolai <Gogol>,Nikolai Gogol,True
This racket sport is named for the Duke of Beaufort's country seat,AWNSER: Badminton,badminton,False
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",Pizza,Pizza,True
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl,Swirl,True
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",JEFFREY,Jack the Ripper,False
An author's last Italian holiday is the subject of this Thomas Mann novella,Death in Venice,Death In Venice,True
The Battle of Bosworth,Richmond,the Wars of the Roses,False
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",,Barnaby Jones,False
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",JOHNNY,Colonel Blimp,False
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum","Louvre. ""Diamond""",The Louvre,False
"1989: This CEO ""& Me""",Jobs,Roger,False
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",Gold,gold,True
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",AWNSER: Harold Washington,Jane Byrne,False
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",Nahuatl,the Aztecs,False
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon,Dragon,True
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda,Anaconda,True
America's first public high school was opened in 1821 in this New England capital,Boston,Boston,True
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Norwegians,Minnesota,False
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,Trolls,trolls,True
Casey Kasem was known for presenting long-distance ones,Top 40 Countdown,dedication,False
Relating to the heart & blood vessels: CV,Cardiovascular,cardiovascular,True
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",PLUTO,Pluto,True
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Little John,Little John,True
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,Titanic,The Love Boat,False
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",SnowWhite,Snow White and the Seven Dwarfs,True
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,"Central Asia. ""REPUBLICS""",Soviet Union,False
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Rousseau,Jean-Jacques Rousseau,True
Nixon might have found one of these detachable shirt fronts tricky to wear,TIE,Dickie,False
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Cranium,Brain,False
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",,the second,False
An underground container for sewage,Sewer,cesspool,False
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Dreyfus,Georges Clemenceau,False
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",ASSASSINS,Assassins,True
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Harry. (Answer: Wilson),Bill Blass,False
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln,Lincoln,True
South America: President Alvaro Uribe,COLOMBIA,Colombia,True
This ancient dramatist is known for his innovative use of a second actor in his plays,Sophocles,Aeschylus,False
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,Eligible,E-L-I-G-I-B-L-E,True
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La Boheme,La boheme,True
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin,Neosporin,True
Native American drum that headed the Department of Homeland Security,TSA,Tom Tom Ridge,False
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,North_and_South,"""North And South""",True
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble (Somoni),Ruble,False
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",STRATOCUMULUS,stratus,False
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,Mermaid,The Little Mermaid,True
"Mexican flat bread, or Steinbeck ""flat""",Tortilla,Tortilla,True
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain,Spain,True
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show","""GRAMMYS"".",Grammy Awards,False
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",MARYTYPING,Frasier,False
"Big problems in the Little League: ""Bad _____ Bears""",Answer: Coaches,News,False
It's the only Canadian province that is separated from the North American mainland,Newfoundland,Prince Edward Island,False
The large rounded part of the brain that occupies most of the cranial cavity,Cerebrum,Cerebrum,True
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana,Indiana,True
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,Before Night Falls,Before Night Falls,True
ER techs need to know if this is type B or O,AB,blood,False
"Meg's the oldest of the sisters in this family; Amy, the youngest",Meganset,the Marches,False
"If a jury is this, they're brought together unfairly or corruptly",Rigged,packed,False
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,Cooperatives,a cooperative,False
"It's where flowers ""sleep""",Buds,a bed,False
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",Gilbert & Sullivan.,Gilbert & Sullivan,True
Hawaii got this official nickname with statehood in 1959,Aloha.,"""The Aloha State""",True
"A Roman official, or a Chicago newspaper              (7)",EDITOR,Tribune,False
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",ANSWER>. Capellini,vermicelli,False
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Napoleon,Napoleon Bonaparte,True
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",PLEATS,a kick pleat,False
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,Porto Rico (St. Augustine),St. Augustine,False
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",UnitedStates,the Supreme Court,False
A milliner makes & sells these; I believe the cloche is making a comeback,Hats.,hats,True
"""Athletic"" name of this 5th century B.C. sculpture by Myron:",Discobolus,"""The Discus Thrower""",False
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",MAILLE,chain mail,False
Mrs. David Arquette,Courteney,Courteney Cox,True
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",Madame.Tussauds,Madame Tussaud,False
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Zeppelins,Dirigibles,False
"India, Italy,  Iceland","ASIA, EUROPE, EUROPE",India,False
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",Edgeworth,the Oort Cloud,False
"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System,Global Positioning System,True
The Valencia type of this fruit is good for juice,Oranges,orange,False
"In the toe-counting rhyme, it's where the second little piggy stayed",,at home,False
"It's the title mode of transportation for 1928's ""Willie""","""Autobiography"".",steamboat,False
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",PAY here,on the barrel,False
He was officially presented to the Welsh people on July 1,JULYTH,Prince Charles,False
Oakland Raiders 1969-78,AL Davis,John Madden,False
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Ivan,Ivan the Terrible,True
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",Alfred,Alfred,True
A heart with an arrow through it is often used to symbolize this holiday,Valentine's,Valentine's Day,True
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",Grumari,Beaches,False
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii,Hawaii,True
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",Triglycerides,LDL (low density lipoproteins),False
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,FAIRIES,fairy ring,False
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,Cape Cod,a Cape Cod,True
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Kharim,Rasputin,False
An arctophile loves these cuddly items named for a U.S. president,Bears.,teddy bears,True
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,College Song,"""The Whiffenpoof Song""",False
This country's Governor General's Award has 7 categories each for writing in English & French,CANADA,Canada,True
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",Space Station.,a space station,True
Period during which recruits learn combat skills,Basic Training,Basic training,True
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",Tennis,tennis,True
"In this artistic process, printing is done by forcing ink into grooves made by acid",Etching,copperplate etching,True
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",Adrianopolis (or Naissus),the Romans,False
"This river's delta covers more than 12,000 square miles in Louisiana",Mississippi,Mississippi River,True
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""",Nixon,Richard Nixon,True
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,Fingerprints,Earprints,False
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,whiskers,Tail,False
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",Torpid,hibernation,False
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Blizzard,Blizzard,True
The Holland type of this liquor first made in Holland is usually drunk straight,Gin,gin,True
It's the name of the probe that sent back the 1976 images seen here,Viking,Viking,True
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Calliope,Calliope,True
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",Answer: Russell,Russell Crowe,False
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things",Household. Food.,House and home,False
The 1st electric version had only red & green lights & had to be worked by hand,TrafficLight,Stop Light/Traffic Signal,False
"The value of all goods & services produced within a country during a year makes up this, the GDP",Gross Domestic Product (GDP),the gross domestic product,False
This type of guard accompanies a casket at a military funeral,Honor,honor guard,True
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,Abilene,West Point,False
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty Python,Monty Python and the Holy Grail,True
Name of the Pepperidge Farm product seen here:,Goldfish,Goldfish,True
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""",LooksLikeJohnOsborne>,"John Osborne (""Look Back In Anger"")",False
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",Velvet,velvet,True
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",SHAW,Shirley Jackson,False
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",s,1950s,True
These rare fungi are used in the diplomat sauce served over fish or shellfish,Morels,truffles,False
"On July 30, 1965 this bill providing health care for the aged was signed into law",Medicare,Medicare,True
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",", ""Pollock""",Willem de Kooning,False
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",ELIZABETH,Emily,False
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Methuselah,Cain,False
"To deal with a problem head on is ""to take"" it ""by the horns""",GRASP,the bull,False
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",Hubble,the Hubble (Space) Telescope,True
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",Hillary,Geraldine Ferraro,False
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,COASTGUARD,the Coast Guard,True
June 24:  This man who had a good head on his shoulders before he met Salome,John,John the Baptist,True
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",Itzhak,Itzhak Perlman,True
1 of the 2 in 1901,Answer: Roosevelt,Queen Victoria or Edward VII,False
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",Lays,Pringles,False
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,,Australia,False
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",I Am Legend,I Am Legend,True
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here","""AT WASHINGTON"".",At Wounded Knee,False
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,Pullman,Pullman,True
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",Love.War,Love & War,True
Her mother Mary Wollstonecraft was also an accomplished author,AWESOMENESS (Mary Shelley),Mary Shelley,False
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",ITALY,Italy,True
It's the country immediately to the west of Egypt,Libya,Libya,True
"""Old habits die"" this way",Hard.,hard,True
This country is located across the Mozambique Channel from the coast of Africa,Madagascar,Madagascar,True
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,Round Midnight,"""'Round Midnight""",True
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Whetstone,Whetstone,True
"""A Journal of the Plague Year"" by D.D.",Years,Daniel Defoe,False
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",Deepwater Horizon Blowout Preventer.,the blowout preventer,False
Switzerland,CHAGALL,Zurich,False
Switzerland,CHAGALL,red & white,False
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",Shepard,Heath Ledger,False
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,Octopus,octopus,True
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,Amber,curry comb,False
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida,Florida,True
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""",Mars,Mars & Venus (Venus & Mars accepted),True
"The Beatles asked him ""What did you kill?""",Maxwell,Bungalow Bill,False
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,Lewis & Clark,Lewis & Clark,True
This Providence university that dates back to 1764 is home to a NASA research center,Brown,Brown,True
The strap-happy sandals named for these ancient combatants were hot in 2008,Spartans. Answer: SANDALS.,gladiators,False
"you're lounging in Lima, the capital",Peru,Peru,True
"When your car is ""on the hook"", it's traveling this way",Towards,on a tow truck,False
The American Library Association awards a medal named for this children's book publisher,Caldecott,(John) Newbery,False
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Street,Billy Joel,False
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",NEWS,20/20,False
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",Answer: Yoko,Barbara Tuchman,False
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,Smithsonian,Smithsonian,True
"You've got security with ""My word is my bond"", the motto of this London financial institution",BARCLAYS,the London Stock Exchange,False
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",THOMAS,Fiorello LaGuardia,False
"Seen here, he's Nancy's sidekick",FRED,Sluggo,False
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",Universal Declaration of Human Rights,the Universal Declaration of Human Rights,True
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",PIECES,Rank and file,False
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface","Answer: Sea. (The question seems to have been mixed up, as Galileo was describing the Moon, not the sea.)",Galileo,False
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface","Answer: Sea. (The question seems to have been mixed up, as Galileo was describing the Moon, not the sea.)",Galileo,False
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",ENIGMA,John Fitzgerald Kennedy,False
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",Elephant,a giant panda,False
It's composed mainly of amylose & amylopectin,Starch,starch,True
Casa Pacifica in San Clemente was the western White House of this U.S. president,Nixon,Richard Nixon,True
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",GUNSAM,Butch Cassidy and the Sundance Kid,False
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",Kate,Kate Jackson,True
This 7-letter word means to presage or forebode,FORECAST,portend,False
2002: Michael Chiklis,Thessaloniki,The Shield,False
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Simba,Simba,True
Nickname of British fictional hero Hugh Drummond,Sapper,"""Bulldog""",False
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",LINUS,Linus,True
"The ancient Egyptians were a polytheistic people, meaning they had many of these",Gods,gods,True
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,Art-Nouveau,Paris,False
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,Answer: Australia,New Zealand,False
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",FLORIDA,Florida,True
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",Norway,Norway,True
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Police,Provincial/State Police,True
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",Artificial Blood,artificial blood,True
Quixote or Drysdale,DonQuixote,a Don,False
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Bill,Bill Belichick,True
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine",New Yorker,The New Yorker,True
"Name of the cemetery in Tombstone, Arizona & many other towns as well",Boot Hill,boot hill,True
"State whose counties include Crockett, Zapata & Pecos",TEXAS,Texas,True
"Almost all of the state's electrical power is generated by this agency, known for its dams",BONUS: TVA,TVA (Tennessee Valley Authority),False
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Rheingold,Das Rheingold,True
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth","Principal, Truth",principal/principle,False
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Bowie,Bowie knife,True
The 1970 cover photo of this man was taken by his wife Linda,Answer: Ono,Paul McCartney,False
This son-in-law of LBJ was the governor of Virginia from 1982-1986,MILLS,Charles (Chuck) Robb,False
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!",Unforgiven,High Noon,False
A WWII German defensive line & Judge Bean,Atlantic Wall,Siegfried & Roy,False
For a Major League baseball it's 9 to 9 1/4 inches,DIAMETER,circumference,False
"From 1965: ""Sont les mots qui vont tres bien ensemble""",Mots Croisés,Michelle,False
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play",Taming of the Shrew.,"""The Taming of the Shrew""",True
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",Muumuu,a muumuu,True
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",GREENGOBLIN,the Green Goblin,True
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old","""SIXTYFour"".",64,False
This part of a drill that tightens the jaw around the bit has a special key,CHUCK,chuck,True
No state shall engage in this (unless invaded),Drafting,war,False
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",Paper,papyrus,False
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",Highland Games.,The Highland Games,True
"Established in 1929, this political party has won every presidential election since",Democratic Party,PRI,False
"An independent agency of the U.S. government, it's also called Eximbank",Export-Import,Export/Import Bank,True
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....","""Earl"" Warren",Earl Warren,True
This distinctive aroma of a wine can also mean a group of cut flowers,Roses,Bouquet,False
"Meaning ""another self"", it can refer to a close friend or one's secret identity",Alter-Ego,Alter Ego,True
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,Jeopardy,Quiz Kids,False
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",Bubonic Plague,the Black Death,False
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",KASIMIR. Malevich,Chagall,False
"""To Let"" was the last novel in this John Galsworthy series",Forsyte,"""The Forsyte Saga""",True
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",DENVER,Colorado Springs,False
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,STEPHEN,Stephen,True
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,"""Toy Story"".",The Polar Express,False
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans",SWANSIGNS,"""The 12 Days of Christmas""",False
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",Musharraf,Benazir Bhutto,False
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",,Mark McGwire,False
