Question,Answer
Woody Allen won 2 Oscars for this 1977 film,Woody
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",ANSWER - Moqtada al-Sadr
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,Answer: Blumenthal
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Answer: KITCHEN
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",ANSWER: Belly button
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Answer: ROCKY
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Scotland
Lee Majors' role from 1981 to 1986,$800 $Answer: Col. Steve Austin
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",- 100
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,Answer: Titans
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",-500
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",- 15
California vegetable with a crown & a heart,-$100
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",Certainly! The answer to the Jeopardy question is:
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",Salem
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,$400
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",Four Wedding
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",Song
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Answer: Flags
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,- 40
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",Effect
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",-$100$
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,-500
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,Abba
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,-3
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Answer: Brown
"""Shutter Island"" & ""Revolutionary Road""",Sure thing! Here's your answer:
In 1949 a Nationalist government in exile was established in this Asian island nation,- Taiwan
"Change one letter in lord & make this verb meaning ""to pack up""",Lord
This provincial capital on Vancouver Island is famous for its Butchart Gardens,- Victoria
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",- 1452
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",£50
"A small fipple flute that, by its name, sounds like it only costs one cent",- Pennywhistle
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",- Ellis
"Pilot somewhere over the Atlantic, May 20, 1927",- 20
The 2 you'd find naturally in Siberia,Siberia
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,-800
What a catcher might eat his dinner on,-50
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Answer: AIR FORCE
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,- 400
282 feet below sea level in Death Valley,-282
"A sudden, violent windstorm",Tornado
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Answer: $64
"He gave us the classic tale of Cossack life ""Taras Bulba""",Gogol
This racket sport is named for the Duke of Beaufort's country seat,TENNIS
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",Answer: Pizza
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Syrup
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Sure thing! Here is the answer to the Jeopardy question:
An author's last Italian holiday is the subject of this Thomas Mann novella,- 21
The Battle of Bosworth,- 1485
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Buddy Ebsen
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",- 20
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",Louvre
"1989: This CEO ""& Me""",Gates
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",GOLD
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",- 82
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",$800 $Answer = Aztec
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Sauron
"Related to the boa constrictor, this largest South American snake is also called the water boa",- 3000. Anaconda
America's first public high school was opened in 1821 in this New England capital,- 16
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",-200
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,Trolls
Casey Kasem was known for presenting long-distance ones,
Relating to the heart & blood vessels: CV,Sure thing! Here is the answer to the Jeopardy question in the requested format:
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto
"This ""diminutive"" companion of Robin Hood was a skillful archer too",- 2
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,- 25
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,Answer: 6
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",-100
Nixon might have found one of these detachable shirt fronts tricky to wear,- 30
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",£3
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",Answer: Second
An underground container for sewage,Sewage
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Sure thing! Here is the answer to the Jeopardy question:
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",- 100
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,- 30
South America: President Alvaro Uribe,- 500
This ancient dramatist is known for his innovative use of a second actor in his plays,Sure thing! Here's the answer to the Jeopardy question:
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,Sure thing! Here is the answer to the Jeopardy question:
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",- La Bohème
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Sure! The answer to the Jeopardy question is:
Native American drum that headed the Department of Homeland Security,- 100
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,$800 $Answer: LOUISIANA
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",RUBLE
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",Stratus
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,Answer: 7
"Mexican flat bread, or Steinbeck ""flat""",- 600. TORTilla
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",$200
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Sure thing! Here is the answer to the Jeopardy question:
"Big problems in the Little League: ""Bad _____ Bears""",Answer: BEARS
It's the only Canadian province that is separated from the North American mainland,Answer: 9
The large rounded part of the brain that occupies most of the cranial cavity,CEREBRUM
Elkhart in this state is the world capital of band instruments & RV manufacturing,- 4
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,-$100$
ER techs need to know if this is type B or O,Type B
"Meg's the oldest of the sisters in this family; Amy, the youngest",Meg
"If a jury is this, they're brought together unfairly or corruptly",
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,Answer: Co-ops
"It's where flowers ""sleep""",Sure! The answer to the Jeopardy question is:
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",Answer: PATIENCE
Hawaii got this official nickname with statehood in 1959,Aloha! The answer to your Jeopardy question is:
"A Roman official, or a Chicago newspaper              (7)",Senator
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",Answer: Fettuccine
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Napoleon
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",Sure thing! The answer is: A-LINE
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,- 20
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",$100
A milliner makes & sells these; I believe the cloche is making a comeback,Sure thing! Here's your answer:
"""Athletic"" name of this 5th century B.C. sculpture by Myron:",- $800. DAVID
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",Sure thing! The answer to the Jeopardy question is:
Mrs. David Arquette,Mrs. David Arquette - 300
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",- 100
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",AIRSHIPS
"India, Italy,  Iceland",India
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",Answer: OORT
"If you're using a GPS device to get around, you should know GPS stands for this",GPS
The Valencia type of this fruit is good for juice,Orange
"In the toe-counting rhyme, it's where the second little piggy stayed",Sure thing! The answer to the Jeopardy question is:
"It's the title mode of transportation for 1928's ""Willie""",Answer: Airship
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",- 10
He was officially presented to the Welsh people on July 1,
Oakland Raiders 1969-78,Sure thing! Here is the answer to the Jeopardy question:
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",-8
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",Eadric
A heart with an arrow through it is often used to symbolize this holiday,
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",Sure thing! Here's the answer to the Jeopardy question:
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",LDL
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,-400. FAIRE
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,Sure thing! Here is the answer to the Jeopardy question:
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Answer: 4
An arctophile loves these cuddly items named for a U.S. president,Answer: BEARS
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,Song
This country's Governor General's Award has 7 categories each for writing in English & French,AWNSER
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",Salyut
Period during which recruits learn combat skills,- Boot
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",- 100. TENNIS
"In this artistic process, printing is done by forcing ink into grooves made by acid",$100
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",Augsburg
"This river's delta covers more than 12,000 square miles in Louisiana",MIGHTY
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""",- 300. Nixon
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,- Nose
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",Answer: Hibernation
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Snow
The Holland type of this liquor first made in Holland is usually drunk straight,Answer: Gin
It's the name of the probe that sent back the 1976 images seen here,Answer: Voyager
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Sure thing! The answer to the Jeopardy question is:
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",£500
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things",Answer: Food
The 1st electric version had only red & green lights & had to be worked by hand,
"The value of all goods & services produced within a country during a year makes up this, the GDP",Gross Domestic Product (GDP)
This type of guard accompanies a casket at a military funeral,Soldier
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,- 100. KANSAS
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Sure thing! Here is the answer to the Jeopardy question:
Name of the Pepperidge Farm product seen here:,
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""",Answer: Osborne
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",Velvet
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",- 49
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",-$1960
These rare fungi are used in the diplomat sauce served over fish or shellfish,Saffron
"On July 30, 1965 this bill providing health care for the aged was signed into law",Medicare
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",Answer: 4
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",$600 $ $ $ ANSWER: VICTORIA
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Cain
"To deal with a problem head on is ""to take"" it ""by the horns""",Horns
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",-$1000
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",-$100$
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,- Navy
June 24:  This man who had a good head on his shoulders before he met Salome,Jesus
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",Answer: Israel
1 of the 2 in 1901,Sure! The answer to the Jeopardy question is:
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,Darwin
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",- $800. I AM LEGEND
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",- 200
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,Pullman
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",Answer: Love
Her mother Mary Wollstonecraft was also an accomplished author,Mary Shelley
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy
It's the country immediately to the west of Egypt,Sure! The answer to the Jeopardy question is:
"""Old habits die"" this way",Sure thing! Here's your answer:
This country is located across the Mozambique Channel from the coast of Africa,Madagascar
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,Rigor Mortis
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Sandpaper
"""A Journal of the Plague Year"" by D.D.",Sure thing! The answer to the Jeopardy question is:
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",$100
Switzerland,Switzerland - 4
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",-8
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,Squid
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,$100
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""",
"The Beatles asked him ""What did you kill?""",
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,-$200-
This Providence university that dates back to 1764 is home to a NASA research center,Brown
The strap-happy sandals named for these ancient combatants were hot in 2008,SANDALS
"you're lounging in Lima, the capital",Lima
"When your car is ""on the hook"", it's traveling this way",
The American Library Association awards a medal named for this children's book publisher,Sure thing! Here is the answer to the Jeopardy question:
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",- 52
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",Answer: AUDREY
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,$100
"You've got security with ""My word is my bond"", the motto of this London financial institution",Sure thing! The answer to the Jeopardy question is:
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",FRANKLIN ROOSEVELT
"Seen here, he's Nancy's sidekick",Rhett
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",Answer: Rights
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",Answer: Pieces
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",- 35
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",Answer: TIGER
It's composed mainly of amylose & amylopectin,Sugar
Casa Pacifica in San Clemente was the western White House of this U.S. president,Certainly! The answer to the Jeopardy question is:
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",Answer: Bonnie
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",Answer: Faye Dunaway
This 7-letter word means to presage or forebode,Sure thing! Here is the answer to the Jeopardy question:
2002: Michael Chiklis,$2002
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Sure thing! Here is the answer to the Jeopardy question:
Nickname of British fictional hero Hugh Drummond,Sure thing! The answer to the Jeopardy question is:
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",Snoopy
"The ancient Egyptians were a polytheistic people, meaning they had many of these",Sure thing! Here is the answer to the Jeopardy question:
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,- Paris
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,Sure thing! Here is the answer to the Jeopardy question:
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",Georgia
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",- 9. Norway
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Surete
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",Answer: Blood
Quixote or Drysdale,Sure thing! Here is the answer to the Jeopardy question:
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",-$100$
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine",Sure thing! Here is the answer to the Jeopardy question:
"Name of the cemetery in Tombstone, Arizona & many other towns as well",Sure thing! Here's your answer:
"State whose counties include Crockett, Zapata & Pecos",Texas
"Almost all of the state's electrical power is generated by this agency, known for its dams",- FEDERAL
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",DAS RING
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth",Answer: Principal
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Bowie
The 1970 cover photo of this man was taken by his wife Linda,
This son-in-law of LBJ was the governor of Virginia from 1982-1986,AWNSER
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!",Sure thing! Here is the answer to the Jeopardy question:
A WWII German defensive line & Judge Bean,Sure thing! Here is the answer to the Jeopardy question:
For a Major League baseball it's 9 to 9 1/4 inches,
"From 1965: ""Sont les mots qui vont tres bien ensemble""",
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play",Answer: KATE
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",Answer: A-line
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",Green Goblin
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old",Answer: Sixties
This part of a drill that tightens the jaw around the bit has a special key,-$
No state shall engage in this (unless invaded),$100
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",$100
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",Sure thing! Here is the answer to the Jeopardy question:
"Established in 1929, this political party has won every presidential election since",- DEMOCRAT
"An independent agency of the U.S. government, it's also called Eximbank",Eximbank
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....",- 8
This distinctive aroma of a wine can also mean a group of cut flowers,Sure thing! The answer to the Jeopardy question is:
"Meaning ""another self"", it can refer to a close friend or one's secret identity",- ALTER EGO
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,- $100
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",Sure! Here is the answer to the Jeopardy question:
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",-500
"""To Let"" was the last novel in this John Galsworthy series",Sure thing! The answer to the Jeopardy question is:
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",Denver
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,Sure thing! Here is the answer to the Jeopardy question:
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,Sure thing! Here is the answer to the Jeopardy question:
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans",
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",-500
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",Aaron
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",Sure thing! Here is the answer to the Jeopardy question:
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",Answer: Ginger
Women's rights leader: ____ Cady ____,Suffragette
"Rick Springfield, Bruce Springsteen, Buffalo Springfield",Rick Springfield
"Pavonine means of or resembling this ""proud"" bird",Pelican
"First, a toast, my sweet, with a glass of this potent potable whose invention is credited to Dom Perignon",Champagne
"When this London residence is freezing, we'd like to return it to the dukes for whom it's named",Duke
"Forces of this European nation conquered Algiers in 1830, ending its use as a stronghold by pirates",France
"""You furnish the pictures & I'll furnish the war""",YOU FURNISH THE PICTURES & I'LL FURNISH THE WAR
Philadelphia pharmicist Charles Hires commercialized this type of soda in the mid-1800s,-$500$
"""The Moonstone"" author William Collins",Sure thing! The answer to the Jeopardy question is:
"Helicobacter pylori has special defenses against this acid, which allow it to live in the stomach & cause ulcers",- 300
"Cotto, Genoa, Pepperoni",Certainly! Here is the answer to the Jeopardy question:
"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",Rah
"After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role",Norm
Ekanetra & Ekarudra were both Vidyesvara gods of this religion,Ekanetra
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,Answer: Incandescent
"This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations",Russia
"Pirates officially licensed to attack enemy ships during wartime were known by this ""secretive"" name",Privateers
"Moments after Macbeth claims he can't be killed by any man born of woman, this thane of Fife performs the deed",-30
A cricket's receptors for this are highly sensitive areas on its front legs,Sure thing! Here is the answer to the Jeopardy question:
"The Refugee Project, helping underprivileged children, is at the heart of this female former Fugee",$100
"His story ""The Outcasts of Poker Flat"" appeared in 1869 in the Overland Monthly, which he edited",- 3
It's customary to toast these soft confections on sticks over a campfire,S'mores
"Seen here, he was president when Georgia became independent, but was then deposed",Napoleon
"In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet",NASCAR
"It's the ""F"" in the common web acronym ""FAQ""",FREQUENTLY
Dr. Clanny's lamp of 1813 was designed so these workers wouldn't ignite gases & blow themselves up,SAFETY
"Paul Tulane gave a substantial endowment to a school in this city, and it was renamed in his honor",- New Orleans
Eid ul-Fitr marks the end of this month of fasting,Ramadan
"The Liberty Bell was hidden in this Pennsylvania ""town"" in 1777",Philadelphia
"In later life, Renoir's hands became so crippled with arthritis, these had to be tied to them",- 8
French gave us this word for a set of tuned bells in a tower,- 800
"As a verb, this means to squander or waste; in the bakery, it's a deep-fried cake",-$100
"For a time, Cervantes supported himself by finding provisions for this Spanish fleet",- 25
"This host of ""Boy Meets Grill"" says charcoal is a lot of work but it gives food a smokiness that gas can't imitate",- $800
Leon Beiderbecke,- 100
In the North Atlantic:  CLND,$
"In ""Cool Hand Luke"", he's the character actor who says ""What we've got here is failure to communicate""",Paul Newman
"The Tasman & Hooker Glaciers radiate from Mt. Cook, the highest mountain of the Southern Alps in this country",New Zealand
The emotional strain I feel until you ring in with the correct response,Sure thing! Here's your Jeopardy question and answer:
"One of the world's oldest mummies, the Detmold Child was mummified in this high S. Amer. country 3,000 years before Tut","$3,000"
The Maccabees fought a guerrilla war to keep the Syrians out of this city,Jerusalem
"Girton, Cambridge University's 1st college for these people, was founded in 1869",Girton - 5
"An entirely female unit, the Mariana Grajales Women's Platoon, helped win this country's 1956-58 socialist revolution",Cuba
The title character on this NBC drama works for the Massachusetts State Coroner's Office,- 100
"Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe",Answer: Copernicus
"Any ""birdbrain"" knows these are the small compartments for papers in a desk",Sure thing! The answer is:
"Phonetically, it sounds like 2 letters of the alphabet",Sure! The answer to the Jeopardy question is:
It's the second-largest body of water in the world,Sure! The answer to the Jeopardy question is:
"John Dalton figured that in water, an atom of this was 8 times heavier than an atom of hydrogen",- Oxygen
In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,- Wilson
"In a book by Irene Hunt, 9-year-old Jethro Creighton lives during the Civil War, which lasts ""Across Five"" of these months",$500
"At the start of the game Diplomacy, France controls 3 supply centers: Paris, Brest & this port",- 5
"We're shocked to hear that some car dealerships have been known to ""roll back"" this device",$100
The only newspaper not in the continental U.S. to make the Top 100 is this city's Advertiser at No. 79,- 6
"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast",Darwin
"""Once a jolly swagman camped by"" this, Australian for a stagnant pool or backwater",Answer: 5
"1966: ""...and Mr. Chicken""",$100
