Question,Answer_model,Answer_ref,model_answer
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth.,Nazareth,True
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,French,McDonald's,False
Hi-yo ___ wedding anniversary,Silver,Silver,True
Woody Allen won 2 Oscars for this 1977 film,What is Annie Hall?,Annie Hall,False
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Abdulaziz,Muqtada al-Sadr,False
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,Joe Lieberman,(Joe) Lieberman,True
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa","""KINGEDY"".",Cecil Rhodes,False
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Breasts,Navel,False
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Paul Newman,Jackie Robinson,False
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",ROBERTBURNS,Robert Burns,True
Lee Majors' role from 1981 to 1986,The Bionic Man,The Fall Guy,False
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",William Howard Taft,Teddy Roosevelt,False
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,Muses,the Titans,False
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",RABBI,Cantor,False
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",Blocs,the Second World,False
California vegetable with a crown & a heart,Artichoke,an artichoke,True
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA,DNA,True
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",Salem.,"Salem, Massachusetts",True
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,ITANRITCHIE,The Last King of Scotland,False
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",Four Weddings and a Funeral,"""Nine Months""",False
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",Answer,"""Michelle""",False
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden,Sweden,True
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Quilts,flags,False
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Anson,Stephen F. Austin,False
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",Greenhouse,a greenhouse,True
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",",320>. ""ELIZABETH""",McKinley,False
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea,Medea,True
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,Swedish.,ABBA,False
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,$1000. AWARDS,Congressional Medal of Honor,False
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown,Brown v. Board of Education,True
"""Shutter Island"" & ""Revolutionary Road""",MartinScorsese,Leonardo DiCaprio,False
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan,Taiwan,True
"Change one letter in lord & make this verb meaning ""to pack up""",LEAVES,load,False
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria,Victoria,True
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante,Dante Aligheri,True
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",What is oilrig worker?,fisherman,False
"A small fipple flute that, by its name, sounds like it only costs one cent",Whistler,a pennywhistle,False
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis,Ellis Island,True
"Pilot somewhere over the Atlantic, May 20, 1927","$1000. ""CHALLENGE""",Lindbergh,False
The 2 you'd find naturally in Siberia,Flowers,Bears & tigers,False
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,Usain.,(Usain) Bolt,True
What a catcher might eat his dinner on,Plate,Home plate,True
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Sir,Royal Air Force,False
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Tombich,Timbuktu,False
282 feet below sea level in Death Valley,Badwater,California,False
"A sudden, violent windstorm",TORNADO,a squall,False
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole,Carole Lombard,True
"He gave us the classic tale of Cossack life ""Taras Bulba""",LEONGORIUS,Nikolai Gogol,False
This racket sport is named for the Duke of Beaufort's country seat,AWNSER,badminton,False
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",PIZZA,Pizza,True
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl,Swirl,True
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jeffrey Dahmer,Jack the Ripper,False
An author's last Italian holiday is the subject of this Thomas Mann novella,Death in Venice,Death In Venice,True
The Battle of Bosworth,,the Wars of the Roses,False
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Man from U.N.C.L.E.,Barnaby Jones,False
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Stalwart,Colonel Blimp,False
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",LOUVRE,The Louvre,True
"1989: This CEO ""& Me""",Steve Jobs,Roger,False
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",$1000. AWNSERS,gold,False
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane,Jane Byrne,True
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",Aztecs,the Aztecs,True
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon,Dragon,True
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda,Anaconda,True
America's first public high school was opened in 1821 in this New England capital,BOSTON,Boston,True
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Who,Minnesota,False
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,Trolls,trolls,True
Casey Kasem was known for presenting long-distance ones,AmericanTop40,dedication,False
Relating to the heart & blood vessels: CV,Cardiology,cardiovascular,False
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",AWNSER,Pluto,False
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Maid Marian,Little John,False
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,What is The Wild Wild West?,The Love Boat,False
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White,Snow White and the Seven Dwarfs,True
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,CentralAsia,Soviet Union,False
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques-Rousseau,Jean-Jacques Rousseau,True
Nixon might have found one of these detachable shirt fronts tricky to wear,CUFFLINKS,Dickie,False
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Intellect,Brain,False
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",Second,the second,True
An underground container for sewage,Septic,cesspool,False
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Marie,Georges Clemenceau,False
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Who is John F Kennedy?,Assassins,False
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Deception,Bill Blass,False
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln,Lincoln,True
South America: President Alvaro Uribe,Colombia,Colombia,True
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus,Aeschylus,True
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,eligible,E-L-I-G-I-B-L-E,True
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La Bohème,La boheme,False
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin,Neosporin,True
Native American drum that headed the Department of Homeland Security,I'm sorry but I can't provide an answer to this question as it is based on false information. The Native American drum you are referring to does not exist and therefore has no answer.,Tom Tom Ridge,False
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,AWNSER,"""North And South""",False
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble,Ruble,True
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",Cirrostratus,stratus,False
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,AWESOME,The Little Mermaid,False
"Mexican flat bread, or Steinbeck ""flat""",Tortilla,Tortilla,True
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain,Spain,True
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",Emmy,Grammy Awards,False
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Dallas,Frasier,False
"Big problems in the Little League: ""Bad _____ Bears""",AWARDS,News,False
It's the only Canadian province that is separated from the North American mainland,Newfoundland,Prince Edward Island,False
The large rounded part of the brain that occupies most of the cranial cavity,CEREBRUM,Cerebrum,True
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana,Indiana,True
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,A Little Life,Before Night Falls,False
ER techs need to know if this is type B or O,Rh negative,blood,False
"Meg's the oldest of the sisters in this family; Amy, the youngest",Who is Meg?,the Marches,False
"If a jury is this, they're brought together unfairly or corruptly",BIAS,packed,False
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,Partnership,a cooperative,False
"It's where flowers ""sleep""",DORMANCY,a bed,False
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",W.S.,Gilbert & Sullivan,False
Hawaii got this official nickname with statehood in 1959,The Aloha State,"""The Aloha State""",True
"A Roman official, or a Chicago newspaper              (7)",Newspaperman,Tribune,False
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",Linguine,vermicelli,False
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Who is Napoleon?,Napoleon Bonaparte,False
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",AWNSER,a kick pleat,False
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,St. Augustine,St. Augustine,True
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",Twenty-Five,the Supreme Court,False
A milliner makes & sells these; I believe the cloche is making a comeback,HATS,hats,True
"""Athletic"" name of this 5th century B.C. sculpture by Myron:",Discobolus,"""The Discus Thrower""",False
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",Chainmail,chain mail,True
Mrs. David Arquette,Who,Courteney Cox,False
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",AWESOME,Madame Tussaud,False
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Airships,Dirigibles,False
"India, Italy,  Iceland",Countries,India,False
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",Oort.,the Oort Cloud,True
"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System,Global Positioning System,True
The Valencia type of this fruit is good for juice,Orange,orange,True
"In the toe-counting rhyme, it's where the second little piggy stayed",Home,at home,True
"It's the title mode of transportation for 1928's ""Willie""",Steamboat,steamboat,True
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",Bar,on the barrel,True
He was officially presented to the Welsh people on July 1,Who is Llywelyn?,Prince Charles,False
Oakland Raiders 1969-78,Al Davis,John Madden,False
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Peter,Ivan the Terrible,False
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",AWESOME,Alfred,False
A heart with an arrow through it is often used to symbolize this holiday,Valentine's Day,Valentine's Day,True
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",BEACHES,Beaches,True
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii,Hawaii,True
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",LDL,LDL (low density lipoproteins),True
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,FAIRY Ring,fairy ring,True
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,Cape,a Cape Cod,True
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Dracula,Rasputin,False
An arctophile loves these cuddly items named for a U.S. president,Teddy,teddy bears,True
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,What Are You Knocking,"""The Whiffenpoof Song""",False
This country's Governor General's Award has 7 categories each for writing in English & French,Canada,Canada,True
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",Spacecraft,a space station,False
Period during which recruits learn combat skills,Basic Training,Basic training,True
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",Tennis,tennis,True
"In this artistic process, printing is done by forcing ink into grooves made by acid",Relief,copperplate etching,False
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",Visigoths,the Romans,False
"This river's delta covers more than 12,000 square miles in Louisiana",Baton Rouge,Mississippi River,False
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""","""NIXON"".",Richard Nixon,True
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,Footprints,Earprints,False
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Whisker,Tail,False
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",Hibernation,hibernation,True
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Blizzard,Blizzard,True
The Holland type of this liquor first made in Holland is usually drunk straight,Sluice,gin,False
It's the name of the probe that sent back the 1976 images seen here,Voyager,Viking,False
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Calliope,Calliope,True
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",RussellCrowe,Russell Crowe,True
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things","$200. ""house"" and ""garden"".",House and home,False
The 1st electric version had only red & green lights & had to be worked by hand,,Stop Light/Traffic Signal,False
"The value of all goods & services produced within a country during a year makes up this, the GDP",GrossDomesticProduct,the gross domestic product,True
This type of guard accompanies a casket at a military funeral,HONORGUARD,honor guard,True
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,West Point,West Point,True
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty Python,Monty Python and the Holy Grail,True
Name of the Pepperidge Farm product seen here:,Goldfish,Goldfish,True
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""",Alan,"John Osborne (""Look Back In Anger"")",False
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",Velvet,velvet,True
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",ShirleyJackson,Shirley Jackson,True
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",,1950s,False
These rare fungi are used in the diplomat sauce served over fish or shellfish,Aspic,truffles,False
"On July 30, 1965 this bill providing health care for the aged was signed into law",Social Security Act Expansion of 1965,Medicare,False
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",Willem,Willem de Kooning,True
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",Authors,Emily,False
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Abel,Cain,False
"To deal with a problem head on is ""to take"" it ""by the horns""",TACKLE,the bull,False
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",What is Hubble?,the Hubble (Space) Telescope,False
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",AWKWARDNESS,Geraldine Ferraro,False
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,Navy,the Coast Guard,False
June 24:  This man who had a good head on his shoulders before he met Salome,Who,John the Baptist,False
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",ZVI ZAMIR,Itzhak Perlman,False
1 of the 2 in 1901,Edison,Queen Victoria or Edward VII,False
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",Who is Salvador Dali?,Pringles,False
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,MOULINROUGE,Australia,False
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",I'm sorry but can't confirm the correct response to that question.,I Am Legend,False
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",BURY MY HEART AT WOUND KILLER,At Wounded Knee,False
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,AWSTON,Pullman,False
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",War is,Love & War,False
Her mother Mary Wollstonecraft was also an accomplished author,Wollstoncraft,Mary Shelley,False
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy,Italy,True
It's the country immediately to the west of Egypt,Jordan,Libya,False
"""Old habits die"" this way",AWAYS,hard,False
This country is located across the Mozambique Channel from the coast of Africa,Australis,Madagascar,False
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,Who,"""'Round Midnight""",False
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Sharps,Whetstone,False
"""A Journal of the Plague Year"" by D.D.",Daniel Defoe,Daniel Defoe,True
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",Deepwater,the blowout preventer,False
Switzerland,Alps,Zurich,False
Switzerland,Alps,red & white,False
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",Who is Heath Ledger?,Heath Ledger,False
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,Shelled,octopus,False
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,AWNSER,curry comb,False
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida.,Florida,True
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""","$100. ""AWESOME""",Mars & Venus (Venus & Mars accepted),False
"The Beatles asked him ""What did you kill?""",Who,Bungalow Bill,False
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,LewisClark,Lewis & Clark,True
This Providence university that dates back to 1764 is home to a NASA research center,Brown,Brown,True
The strap-happy sandals named for these ancient combatants were hot in 2008,OXFORDS,gladiators,False
"you're lounging in Lima, the capital",Peru,Peru,True
"When your car is ""on the hook"", it's traveling this way",Southward,on a tow truck,False
The American Library Association awards a medal named for this children's book publisher,Harper,(John) Newbery,False
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Greenwich,Billy Joel,False
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",20/20,20/20,True
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",AWOL,Barbara Tuchman,False
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,MUSEUM,Smithsonian,False
"You've got security with ""My word is my bond"", the motto of this London financial institution",AWNESLEY,the London Stock Exchange,False
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC","$1000. ""Saint""",Fiorello LaGuardia,False
"Seen here, he's Nancy's sidekick",Who,Sluggo,False
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",Universal Declaration of Human Rights,the Universal Declaration of Human Rights,True
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",RANKS,Rank and file,False
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",Galileo,Galileo,True
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",Galileo,Galileo,True
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",AWOL,John Fitzgerald Kennedy,False
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",Asian Elephant,a giant panda,False
It's composed mainly of amylose & amylopectin,Starch,starch,True
Casa Pacifica in San Clemente was the western White House of this U.S. president,DwightD. Eisenhower,Richard Nixon,False
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",Bonanza,Butch Cassidy and the Sundance Kid,False
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",LeaMarr,Kate Jackson,False
This 7-letter word means to presage or forebode,Omen,portend,False
2002: Michael Chiklis,Who,The Shield,False
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Simba,Simba,True
Nickname of British fictional hero Hugh Drummond,Dandy,"""Bulldog""",False
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",Peanuts,Linus,False
"The ancient Egyptians were a polytheistic people, meaning they had many of these",Deities,gods,False
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,Paris,Paris,True
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,Netherlands,New Zealand,False
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",Georgia,Florida,False
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",Norway,Norway,True
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Police,Provincial/State Police,True
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",Transfusion,artificial blood,False
Quixote or Drysdale,Don Quixote,a Don,False
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Who is Don Shula,Bill Belichick,False
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine","""NEWYORKER"".",The New Yorker,True
"Name of the cemetery in Tombstone, Arizona & many other towns as well","$100. ""OAK""",boot hill,False
"State whose counties include Crockett, Zapata & Pecos",Texas,Texas,True
"Almost all of the state's electrical power is generated by this agency, known for its dams",$100,TVA (Tennessee Valley Authority),False
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Der Fliegen,Das Rheingold,False
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth",Principal,principal/principle,True
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Colt,Bowie knife,False
The 1970 cover photo of this man was taken by his wife Linda,Who is John Lennon?,Paul McCartney,False
This son-in-law of LBJ was the governor of Virginia from 1982-1986,GEORGE,Charles (Chuck) Robb,False
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!","""Rebel Without a Cause"".",High Noon,False
A WWII German defensive line & Judge Bean,SIEGFRIED,Siegfried & Roy,True
For a Major League baseball it's 9 to 9 1/4 inches,AWESOME,circumference,False
"From 1965: ""Sont les mots qui vont tres bien ensemble""",French,Michelle,False
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play",Katherine,"""The Taming of the Shrew""",False
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",A-HOA,a muumuu,False
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",Oswald,the Green Goblin,False
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old",$100. AWARDS,64,False
This part of a drill that tightens the jaw around the bit has a special key,Collet,chuck,False
No state shall engage in this (unless invaded),Sovereignty,war,False
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",Leather,papyrus,False
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",Hurling,The Highland Games,False
"Established in 1929, this political party has won every presidential election since",Democrat,PRI,False
"An independent agency of the U.S. government, it's also called Eximbank",Export-Import Bank,Export/Import Bank,True
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....",Hugo,Earl Warren,False
This distinctive aroma of a wine can also mean a group of cut flowers,AWNSER,Bouquet,False
"Meaning ""another self"", it can refer to a close friend or one's secret identity",Doppelganger,Alter Ego,False
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,Nickelodeon,Quiz Kids,False
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",The Black Death,the Black Death,True
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",AWKWARD,Chagall,False
"""To Let"" was the last novel in this John Galsworthy series",FORTY-ONE,"""The Forsyte Saga""",False
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",Boulder,Colorado Springs,False
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,"""STEFAN"".",Stephen,False
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,Toy Story,The Polar Express,False
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans",SwanLake,"""The 12 Days of Christmas""",False
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",Benazir,Benazir Bhutto,True
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",Mark McGwire,Mark McGwire,True
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",Oysters,oysters,True
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",Sassafras,ginger ale,False
Women's rights leader: ____ Cady ____,Elizabeth,Elizabeth Cady Stanton,True
