Question,Answer,T1,T2,T3,T4,T5,Correctness
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Sir,no,no,no,no,no,0.0
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Tombich,no,no,no,no,no,0.0
282 feet below sea level in Death Valley,Badwater,yes,yes,yes,yes,yes,1.0
"A sudden, violent windstorm",TORNADO,yes,yes,yes,yes,yes,1.0
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole,no,no,no,no,no,0.0
"He gave us the classic tale of Cossack life ""Taras Bulba""",LEONGORIUS,no,no,no,no,no,0.0
This racket sport is named for the Duke of Beaufort's country seat,AWNSER,no,no,no,no,no,0.0
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",PIZZA,no,no,no,no,no,0.0
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl,no,no,no,no,no,0.0
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jeffrey Dahmer,no,no,no,no,no,0.0
An author's last Italian holiday is the subject of this Thomas Mann novella,Death in Venice,yes,yes,yes,yes,yes,1.0
The Battle of Bosworth,,no,no,no,no,no,0.0
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Man from U.N.C.L.E.,no,no,no,no,no,0.0
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Stalwart,no,no,no,no,no,0.0
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",LOUVRE,no,no,no,no,no,0.0
"1989: This CEO ""& Me""",Steve Jobs,no,no,no,no,no,0.0
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",$1000. AWNSERS,no,no,no,no,no,0.0
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane,no,no,no,no,no,0.0
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",Aztecs,no,no,no,no,no,0.0
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon,no,no,no,no,no,0.0
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda,yes,yes,yes,yes,yes,1.0
America's first public high school was opened in 1821 in this New England capital,BOSTON,no,no,no,no,no,0.0
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Who,no,no,no,no,no,0.0
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,Trolls,no,no,no,no,no,0.0
Casey Kasem was known for presenting long-distance ones,AmericanTop40,no,no,no,no,no,0.0
Relating to the heart & blood vessels: CV,Cardiology,yes,yes,yes,yes,yes,1.0
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",AWNSER,no,no,no,no,no,0.0
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Maid Marian,no,no,no,no,no,0.0
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,What is The Wild Wild West?,no,no,no,no,no,0.0
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White,yes,yes,yes,yes,yes,1.0
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,CentralAsia,no,no,no,no,no,0.0
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques-Rousseau,yes,yes,yes,yes,yes,1.0
Nixon might have found one of these detachable shirt fronts tricky to wear,CUFFLINKS,no,no,no,no,no,0.0
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Intellect,no,no,no,no,no,0.0
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",Second,no,no,no,no,no,0.0
An underground container for sewage,Septic,yes,yes,yes,yes,yes,1.0
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Marie,no,no,no,no,no,0.0
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Who is John F Kennedy?,no,no,no,no,no,0.0
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Deception,no,no,no,no,no,0.0
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln,no,no,no,no,no,0.0
South America: President Alvaro Uribe,Colombia,no,no,no,no,no,0.0
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus,no,no,no,no,no,0.0
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,eligible,no,no,no,no,no,0.0
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La Bohème,no,no,no,no,no,0.0
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin,no,no,no,no,no,0.0
Native American drum that headed the Department of Homeland Security,I'm sorry but I can't provide an answer to this question as it is based on false information. The Native American drum you are referring to does not exist and therefore has no answer.,no,no,no,no,no,0.0
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,AWNSER,no,no,no,no,no,0.0
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble,no,no,no,no,no,0.0
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",Cirrostratus,no,no,no,no,no,0.0
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,AWESOME,no,no,no,no,no,0.0
"Mexican flat bread, or Steinbeck ""flat""",Tortilla,no,no,no,no,no,0.0
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain,yes,yes,yes,yes,yes,1.0
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",Emmy,no,no,no,no,no,0.0
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Dallas,yes,yes,yes,yes,yes,1.0
"Big problems in the Little League: ""Bad _____ Bears""",AWARDS,no,no,no,no,no,0.0
It's the only Canadian province that is separated from the North American mainland,Newfoundland,yes,yes,yes,yes,yes,1.0
The large rounded part of the brain that occupies most of the cranial cavity,CEREBRUM,no,no,no,no,no,0.0
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana,no,no,no,no,no,0.0
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,A Little Life,no,no,no,no,no,0.0
ER techs need to know if this is type B or O,Rh negative,no,no,no,no,no,0.0
"Meg's the oldest of the sisters in this family; Amy, the youngest",Who is Meg?,no,no,no,no,no,0.0
"If a jury is this, they're brought together unfairly or corruptly",BIAS,yes,yes,yes,yes,yes,1.0
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,Partnership,yes,yes,yes,yes,yes,1.0
"It's where flowers ""sleep""",DORMANCY,no,no,no,no,no,0.0
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",W.S.,no,no,no,no,no,0.0
Hawaii got this official nickname with statehood in 1959,The Aloha State,no,no,no,no,no,0.0
"A Roman official, or a Chicago newspaper              (7)",Newspaperman,no,no,no,no,no,0.0
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",Linguine,yes,yes,yes,yes,yes,1.0
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Who is Napoleon?,no,no,no,no,no,0.0
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",AWNSER,no,no,no,no,no,0.0
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,St. Augustine,no,no,no,no,no,0.0
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",Twenty-Five,no,no,no,no,no,0.0
A milliner makes & sells these; I believe the cloche is making a comeback,HATS,no,no,no,no,no,0.0
"""Athletic"" name of this 5th century B.C. sculpture by Myron:",Discobolus,yes,yes,yes,yes,yes,1.0
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",Chainmail,yes,yes,yes,yes,yes,1.0
Mrs. David Arquette,Who,no,no,no,no,no,0.0
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",AWESOME,yes,yes,yes,yes,yes,1.0
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Airships,yes,yes,yes,yes,yes,1.0
"India, Italy,  Iceland",Countries,no,no,no,no,no,0.0
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",Oort.,yes,yes,yes,yes,yes,1.0
"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System,yes,yes,yes,yes,yes,1.0
The Valencia type of this fruit is good for juice,Orange,no,no,no,no,no,0.0
"In the toe-counting rhyme, it's where the second little piggy stayed",Home,no,no,no,no,no,0.0
"It's the title mode of transportation for 1928's ""Willie""",Steamboat,no,no,no,no,no,0.0
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",Bar,yes,yes,yes,yes,yes,1.0
He was officially presented to the Welsh people on July 1,Who is Llywelyn?,no,no,no,no,no,0.0
Oakland Raiders 1969-78,Al Davis,yes,yes,yes,yes,yes,1.0
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Peter,no,no,no,no,no,0.0
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",AWESOME,no,no,no,no,no,0.0
A heart with an arrow through it is often used to symbolize this holiday,Valentine's Day,no,no,no,no,no,0.0
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",BEACHES,no,no,no,no,no,0.0
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii,no,no,no,no,no,0.0
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",LDL,yes,yes,yes,yes,yes,1.0
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,FAIRY Ring,yes,yes,yes,yes,yes,1.0
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,Cape,no,no,no,no,no,0.0
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Dracula,no,no,no,no,no,0.0
An arctophile loves these cuddly items named for a U.S. president,Teddy,yes,yes,yes,yes,yes,1.0
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,What Are You Knocking,no,no,no,no,no,0.0
This country's Governor General's Award has 7 categories each for writing in English & French,Canada,no,no,no,no,no,0.0
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",Spacecraft,no,no,no,no,no,0.0
Period during which recruits learn combat skills,Basic Training,yes,yes,yes,yes,yes,1.0
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",Tennis,no,no,no,no,no,0.0
"In this artistic process, printing is done by forcing ink into grooves made by acid",Relief,no,no,no,no,no,0.0
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",Visigoths,yes,yes,yes,yes,yes,1.0
"This river's delta covers more than 12,000 square miles in Louisiana",Baton Rouge,no,no,no,no,no,0.0
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""","""NIXON"".",no,no,no,no,no,0.0
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,Footprints,no,no,no,no,no,0.0
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Whisker,no,no,no,no,no,0.0
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",Hibernation,no,no,no,no,no,0.0
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Blizzard,no,no,no,no,no,0.0
The Holland type of this liquor first made in Holland is usually drunk straight,Sluice,no,no,no,no,no,0.0
It's the name of the probe that sent back the 1976 images seen here,Voyager,no,no,no,no,no,0.0
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Calliope,no,no,no,no,no,0.0
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",RussellCrowe,no,no,no,no,no,0.0
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things","$200. ""house"" and ""garden"".",no,no,no,no,no,0.0
The 1st electric version had only red & green lights & had to be worked by hand,,no,no,no,no,no,0.0
"The value of all goods & services produced within a country during a year makes up this, the GDP",GrossDomesticProduct,yes,yes,yes,yes,yes,1.0
This type of guard accompanies a casket at a military funeral,HONORGUARD,no,no,no,no,no,0.0
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,West Point,no,no,no,no,no,0.0
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty Python,no,no,no,no,no,0.0
Name of the Pepperidge Farm product seen here:,Goldfish,no,no,no,no,no,0.0
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""",Alan,no,no,no,no,no,0.0
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",Velvet,yes,yes,yes,yes,yes,1.0
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",ShirleyJackson,no,no,no,no,no,0.0
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",,no,no,no,no,no,0.0
These rare fungi are used in the diplomat sauce served over fish or shellfish,Aspic,no,no,no,no,no,0.0
"On July 30, 1965 this bill providing health care for the aged was signed into law",Social Security Act Expansion of 1965,no,no,no,no,no,0.0
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",Willem,no,no,no,no,no,0.0
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",Authors,yes,yes,yes,yes,yes,1.0
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Abel,no,no,no,no,no,0.0
"To deal with a problem head on is ""to take"" it ""by the horns""",TACKLE,no,no,no,no,no,0.0
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",What is Hubble?,no,no,no,no,no,0.0
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",AWKWARDNESS,no,no,no,no,no,0.0
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,Navy,yes,yes,yes,yes,yes,1.0
June 24:  This man who had a good head on his shoulders before he met Salome,Who,no,no,no,no,no,0.0
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",ZVI ZAMIR,no,no,no,no,no,0.0
1 of the 2 in 1901,Edison,no,no,no,no,no,0.0
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",Who is Salvador Dali?,no,no,no,no,no,0.0
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,MOULINROUGE,no,no,no,no,no,0.0
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",I'm sorry but can't confirm the correct response to that question.,no,no,no,no,no,0.0
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",BURY MY HEART AT WOUND KILLER,no,no,no,no,no,0.0
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,AWSTON,no,no,no,no,no,0.0
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",War is,no,no,no,no,no,0.0
Her mother Mary Wollstonecraft was also an accomplished author,Wollstoncraft,no,no,no,no,no,0.0
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy,yes,yes,yes,yes,yes,1.0
It's the country immediately to the west of Egypt,Jordan,no,no,no,no,no,0.0
"""Old habits die"" this way",AWAYS,no,no,no,no,no,0.0
This country is located across the Mozambique Channel from the coast of Africa,Australis,no,no,no,no,no,0.0
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,Who,no,no,no,no,no,0.0
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Sharps,no,no,no,no,no,0.0
"""A Journal of the Plague Year"" by D.D.",Daniel Defoe,yes,yes,yes,yes,yes,1.0
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",Deepwater,no,no,no,no,no,0.0
Switzerland,Alps,no,no,no,no,no,0.0
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",Who is Heath Ledger?,no,no,no,no,no,0.0
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,Shelled,no,no,no,no,no,0.0
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,AWNSER,no,no,no,no,no,0.0
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida.,no,no,no,no,no,0.0
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""","$100. ""AWESOME""",no,no,no,no,no,0.0
"The Beatles asked him ""What did you kill?""",Who,no,no,no,no,no,0.0
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,LewisClark,yes,yes,yes,yes,yes,1.0
This Providence university that dates back to 1764 is home to a NASA research center,Brown,no,no,no,no,no,0.0
The strap-happy sandals named for these ancient combatants were hot in 2008,OXFORDS,no,no,no,no,no,0.0
"you're lounging in Lima, the capital",Peru,yes,yes,yes,yes,yes,1.0
"When your car is ""on the hook"", it's traveling this way",Southward,no,no,no,no,no,0.0
The American Library Association awards a medal named for this children's book publisher,Harper,no,no,no,no,no,0.0
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Greenwich,no,no,no,no,no,0.0
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",20/20,no,no,no,no,no,0.0
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",AWOL,no,no,no,no,no,0.0
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,MUSEUM,no,no,no,no,no,0.0
"You've got security with ""My word is my bond"", the motto of this London financial institution",AWNESLEY,no,no,no,no,no,0.0
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC","$1000. ""Saint""",no,no,no,no,no,0.0
"Seen here, he's Nancy's sidekick",Who,no,no,no,no,no,0.0
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",Universal Declaration of Human Rights,yes,yes,yes,yes,yes,1.0
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",RANKS,no,no,no,no,no,0.0
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",Galileo,no,no,no,no,no,0.0
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",AWOL,no,no,no,no,no,0.0
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",Asian Elephant,no,no,no,no,no,0.0
It's composed mainly of amylose & amylopectin,Starch,no,no,no,no,no,0.0
Casa Pacifica in San Clemente was the western White House of this U.S. president,DwightD. Eisenhower,no,no,no,no,no,0.0
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",Bonanza,no,no,no,no,no,0.0
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",LeaMarr,no,no,no,no,no,0.0
This 7-letter word means to presage or forebode,Omen,no,no,no,no,no,0.0
2002: Michael Chiklis,Who,no,no,no,no,no,0.0
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Simba,no,no,no,no,no,0.0
Nickname of British fictional hero Hugh Drummond,Dandy,no,no,no,no,no,0.0
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",Peanuts,no,no,no,no,no,0.0
"The ancient Egyptians were a polytheistic people, meaning they had many of these",Deities,yes,yes,yes,yes,yes,1.0
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,Paris,no,no,no,no,no,0.0
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,Netherlands,no,no,no,no,no,0.0
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",Georgia,no,no,no,no,no,0.0
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",Norway,no,no,no,no,no,0.0
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Police,yes,yes,yes,yes,yes,1.0
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",Transfusion,no,no,no,no,no,0.0
Quixote or Drysdale,Don Quixote,no,no,no,no,no,0.0
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Who is Don Shula,no,no,no,no,no,0.0
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine","""NEWYORKER"".",yes,yes,yes,yes,yes,1.0
"Name of the cemetery in Tombstone, Arizona & many other towns as well","$100. ""OAK""",no,no,no,no,no,0.0
"State whose counties include Crockett, Zapata & Pecos",Texas,no,no,no,no,no,0.0
"Almost all of the state's electrical power is generated by this agency, known for its dams",$100,no,no,no,no,no,0.0
